METHOD A: threshold c_eff=1 crossing
   L   zeta    lam_c   z*sqrt(L)  lc*sqrt(L)


METHOD B: L-pair c_eff matching
  L1   L2    L_g   zeta    lam_c  z*sqrt(Lg)  lc*sqrt(Lg)
   8   16   11.3  0.020   0.1652      0.0673       0.5558
   8   16   11.3  0.050   0.1594      0.1682       0.5360
   8   16   11.3  0.100   0.1206      0.3364       0.4057
   8   16   11.3  0.150   0.1028      0.5045       0.3456
   8   16   11.3  0.200   0.0891      0.6727       0.2998
   8   16   11.3  0.300   0.1079      1.0091       0.3628
   8   16   11.3  0.500   0.1585      1.6818       0.5331
   8   16   11.3  0.700   0.2358      2.3545       0.7930
   8   16   11.3  0.850   0.2430      2.8590       0.8174
   8   16   11.3  1.000   0.2292      3.3636       0.7711
  16   24   19.6  0.020   0.0587      0.0885       0.2599
  16   24   19.6  0.050   0.0610      0.2213       0.2700
  16   24   19.6  0.100   0.0655      0.4427       0.2901
  16   24   19.6  0.150   0.0807      0.6640       0.3573
  16   24   19.6  0.200   0.1115      0.8853       0.4937
  16   24   19.6  0.300   0.1399      1.3280       0.6193
  16   24   19.6  0.500   0.2173      2.2134       0.9618
  16   24   19.6  0.700   0.3008      3.0987       1.3317
  16   24   19.6  0.850   0.3095      3.7627       1.3701
  16   24   19.6  1.000   0.3026      4.4267       1.3397
  24   32   27.7  0.020   0.0750      0.1053       0.3948
  24   32   27.7  0.050   0.0756      0.2632       0.3981
  24   32   27.7  0.100   0.0812      0.5264       0.4275
  24   32   27.7  0.150   0.0939      0.7896       0.4942
  24   32   27.7  0.200   0.0903      1.0529       0.4752
  24   32   27.7  0.300   0.1102      1.5793       0.5801
  24   32   27.7  0.500   0.2426      2.6321       1.2773
  24   32   27.7  0.700   0.3291      3.6850       1.7326
  24   32   27.7  0.850   0.3405      4.4747       1.7926
  24   32   27.7  1.000   0.3365      5.2643       1.7715
  32   48   39.2  0.020   0.0703      0.1252       0.4403
  32   48   39.2  0.050   0.0713      0.3130       0.4464
  32   48   39.2  0.100   0.0818      0.6260       0.5123
  32   48   39.2  0.150   0.0951      0.9391       0.5956
  32   48   39.2  0.200   0.1139      1.2521       0.7130
  32   48   39.2  0.300   0.1851      1.8781       1.1587
  32   48   39.2  0.500   0.3099      3.1302       1.9398
  32   48   39.2  0.700   0.3706      4.3822       2.3200
  32   48   39.2  0.850   0.3641      5.3213       2.2795
  32   48   39.2  1.000   0.3552      6.2603       2.2240
  48   64   55.4  0.020   0.0472      0.1489       0.3512
  48   64   55.4  0.050   0.0485      0.3722       0.3607
  48   64   55.4  0.100   0.1395      0.7445       1.0388
  48   64   55.4  0.150   0.2305      1.1167       1.7160
  48   64   55.4  0.200   0.2344      1.4890       1.7450
  48   64   55.4  0.300   0.2699      2.2335       2.0097
  48   64   55.4  0.500   0.4292      3.7224       3.1950
  48   64   55.4  0.700   0.3453      5.2114       2.5709
  48   64   55.4  0.850   0.3543      6.3281       2.6380
  48   64   55.4  1.000   0.3708      7.4448       2.7607
  64   96   78.4  0.020   0.1470      0.1771       1.3011
  64   96   78.4  0.050   0.1421      0.4427       1.2581
  64   96   78.4  0.100   0.1767      0.8853       1.5640
  64   96   78.4  0.150   0.1889      1.3280       1.6721
  64   96   78.4  0.200   0.2236      1.7707       1.9799
  64   96   78.4  0.300   0.3439      2.6560       3.0450
  64   96   78.4  0.500   0.4335      4.4267       3.8378
  64   96   78.4  0.700   0.3749      6.1974       3.3188
  64   96   78.4  0.850   0.3717      7.5254       3.2907
  64   96   78.4  1.000   0.3705      8.8535       3.2805
  96  128  110.9  0.020   0.1297      0.2106       1.3658
  96  128  110.9  0.050   0.2094      0.5264       2.2044
  96  128  110.9  0.100   0.2309      1.0529       2.4310
  96  128  110.9  0.150   0.2758      1.5793       2.9033
  96  128  110.9  0.200   0.3113      2.1057       3.2775
  96  128  110.9  0.300   0.3872      3.1586       4.0765
  96  128  110.9  0.500   0.3727      5.2643       3.9244
  96  128  110.9  0.700   0.4347      7.3700       4.5763
  96  128  110.9  0.850   0.3465      8.9493       3.6478
  96  128  110.9  1.000   0.3182     10.5286       3.3500
