arm,L,T,N_c,zeta,lam,dtau_mult,resample_scheme,seed
ARM1,96,96.0,128,0.35,0.3032,6.0,systematic,1168016
ARM1,96,96.0,128,0.35,0.3032,6.0,systematic,1168017
ARM1,96,96.0,128,0.35,0.3032,6.0,systematic,1168018
ARM1,96,96.0,128,0.35,0.3032,6.0,systematic,1168019
ARM1,96,96.0,128,0.35,0.3032,6.0,systematic,1168020
ARM1,96,96.0,128,0.35,0.3032,6.0,systematic,1168021
ARM1,96,96.0,128,0.35,0.3032,6.0,systematic,1168022
ARM1,96,96.0,128,0.35,0.3032,6.0,systematic,1168023
ARM1,96,96.0,128,0.35,0.3032,6.0,systematic,1168024
ARM1,96,96.0,128,0.35,0.3032,6.0,systematic,1168025
ARM1,96,96.0,128,0.35,0.3032,6.0,systematic,1168026
ARM1,96,96.0,128,0.35,0.3032,6.0,systematic,1168027
ARM1,96,96.0,128,0.35,0.3032,6.0,systematic,1168028
ARM1,96,96.0,128,0.35,0.3032,6.0,systematic,1168029
ARM1,96,96.0,128,0.35,0.3032,6.0,systematic,1168030
ARM1,96,96.0,128,0.35,0.3032,6.0,systematic,1168031
ARM1,96,96.0,128,0.35,0.3032,6.0,systematic,1168032
ARM1,96,96.0,128,0.35,0.3032,6.0,systematic,1168033
ARM1,96,96.0,128,0.35,0.3032,6.0,systematic,1168034
ARM1,96,96.0,128,0.35,0.3032,6.0,systematic,1168035
ARM1,96,96.0,128,0.35,0.3032,6.0,systematic,1168036
ARM1,96,96.0,128,0.35,0.3032,6.0,systematic,1168037
ARM1,96,96.0,128,0.35,0.3032,6.0,systematic,1168038
ARM1,96,96.0,128,0.35,0.3032,6.0,systematic,1168039
ARM1,96,96.0,128,0.35,0.3032,6.0,systematic,1168040
ARM1,96,96.0,128,0.35,0.3032,6.0,systematic,1168041
ARM1,96,96.0,128,0.35,0.3032,6.0,systematic,1168042
ARM1,96,96.0,128,0.35,0.3032,6.0,systematic,1168043
ARM1,96,96.0,128,0.35,0.3032,6.0,systematic,1168044
ARM1,96,96.0,128,0.35,0.3032,6.0,systematic,1168045
ARM1,96,96.0,128,0.35,0.3032,6.0,systematic,1168046
ARM1,96,96.0,128,0.35,0.3032,6.0,systematic,1168047
ARM1,96,96.0,256,0.35,0.3032,6.0,systematic,1296016
ARM1,96,96.0,256,0.35,0.3032,6.0,systematic,1296017
ARM1,96,96.0,256,0.35,0.3032,6.0,systematic,1296018
ARM1,96,96.0,256,0.35,0.3032,6.0,systematic,1296019
ARM1,96,96.0,256,0.35,0.3032,6.0,systematic,1296020
ARM1,96,96.0,256,0.35,0.3032,6.0,systematic,1296021
ARM1,96,96.0,256,0.35,0.3032,6.0,systematic,1296022
ARM1,96,96.0,256,0.35,0.3032,6.0,systematic,1296023
ARM1,96,96.0,256,0.35,0.3032,6.0,systematic,1296024
ARM1,96,96.0,256,0.35,0.3032,6.0,systematic,1296025
ARM1,96,96.0,256,0.35,0.3032,6.0,systematic,1296026
ARM1,96,96.0,256,0.35,0.3032,6.0,systematic,1296027
ARM1,96,96.0,256,0.35,0.3032,6.0,systematic,1296028
ARM1,96,96.0,256,0.35,0.3032,6.0,systematic,1296029
ARM1,96,96.0,256,0.35,0.3032,6.0,systematic,1296030
ARM1,96,96.0,256,0.35,0.3032,6.0,systematic,1296031
ARM1,96,96.0,256,0.35,0.3032,6.0,systematic,1296032
ARM1,96,96.0,256,0.35,0.3032,6.0,systematic,1296033
ARM1,96,96.0,256,0.35,0.3032,6.0,systematic,1296034
ARM1,96,96.0,256,0.35,0.3032,6.0,systematic,1296035
ARM1,96,96.0,256,0.35,0.3032,6.0,systematic,1296036
ARM1,96,96.0,256,0.35,0.3032,6.0,systematic,1296037
ARM1,96,96.0,256,0.35,0.3032,6.0,systematic,1296038
ARM1,96,96.0,256,0.35,0.3032,6.0,systematic,1296039
ARM1,96,96.0,256,0.35,0.3032,6.0,systematic,1296040
ARM1,96,96.0,256,0.35,0.3032,6.0,systematic,1296041
ARM1,96,96.0,256,0.35,0.3032,6.0,systematic,1296042
ARM1,96,96.0,256,0.35,0.3032,6.0,systematic,1296043
ARM1,96,96.0,256,0.35,0.3032,6.0,systematic,1296044
ARM1,96,96.0,256,0.35,0.3032,6.0,systematic,1296045
ARM1,96,96.0,256,0.35,0.3032,6.0,systematic,1296046
ARM1,96,96.0,256,0.35,0.3032,6.0,systematic,1296047
ARM1,96,96.0,512,0.35,0.3032,6.0,systematic,1552000
ARM1,96,96.0,512,0.35,0.3032,6.0,systematic,1552001
ARM1,96,96.0,512,0.35,0.3032,6.0,systematic,1552002
ARM1,96,96.0,512,0.35,0.3032,6.0,systematic,1552003
ARM1,96,96.0,512,0.35,0.3032,6.0,systematic,1552004
ARM1,96,96.0,512,0.35,0.3032,6.0,systematic,1552005
ARM1,96,96.0,512,0.35,0.3032,6.0,systematic,1552006
ARM1,96,96.0,512,0.35,0.3032,6.0,systematic,1552007
ARM1,96,96.0,512,0.35,0.3032,6.0,systematic,1552008
ARM1,96,96.0,512,0.35,0.3032,6.0,systematic,1552009
ARM1,96,96.0,512,0.35,0.3032,6.0,systematic,1552010
ARM1,96,96.0,512,0.35,0.3032,6.0,systematic,1552011
ARM1,96,96.0,512,0.35,0.3032,6.0,systematic,1552012
ARM1,96,96.0,512,0.35,0.3032,6.0,systematic,1552013
ARM1,96,96.0,512,0.35,0.3032,6.0,systematic,1552014
ARM1,96,96.0,512,0.35,0.3032,6.0,systematic,1552015
ARM1,96,96.0,512,0.35,0.3032,6.0,systematic,1552016
ARM1,96,96.0,512,0.35,0.3032,6.0,systematic,1552017
ARM1,96,96.0,512,0.35,0.3032,6.0,systematic,1552018
ARM1,96,96.0,512,0.35,0.3032,6.0,systematic,1552019
ARM1,96,96.0,512,0.35,0.3032,6.0,systematic,1552020
ARM1,96,96.0,512,0.35,0.3032,6.0,systematic,1552021
ARM1,96,96.0,512,0.35,0.3032,6.0,systematic,1552022
ARM1,96,96.0,512,0.35,0.3032,6.0,systematic,1552023
ARM1,96,96.0,512,0.35,0.3032,6.0,systematic,1552024
ARM1,96,96.0,512,0.35,0.3032,6.0,systematic,1552025
ARM1,96,96.0,512,0.35,0.3032,6.0,systematic,1552026
ARM1,96,96.0,512,0.35,0.3032,6.0,systematic,1552027
ARM1,96,96.0,512,0.35,0.3032,6.0,systematic,1552028
ARM1,96,96.0,512,0.35,0.3032,6.0,systematic,1552029
ARM1,96,96.0,512,0.35,0.3032,6.0,systematic,1552030
ARM1,96,96.0,512,0.35,0.3032,6.0,systematic,1552031
ARM1,96,96.0,512,0.35,0.3032,6.0,systematic,1552032
ARM1,96,96.0,512,0.35,0.3032,6.0,systematic,1552033
ARM1,96,96.0,512,0.35,0.3032,6.0,systematic,1552034
ARM1,96,96.0,512,0.35,0.3032,6.0,systematic,1552035
ARM1,96,96.0,512,0.35,0.3032,6.0,systematic,1552036
ARM1,96,96.0,512,0.35,0.3032,6.0,systematic,1552037
ARM1,96,96.0,512,0.35,0.3032,6.0,systematic,1552038
ARM1,96,96.0,512,0.35,0.3032,6.0,systematic,1552039
ARM1,96,96.0,512,0.35,0.3032,6.0,systematic,1552040
ARM1,96,96.0,512,0.35,0.3032,6.0,systematic,1552041
ARM1,96,96.0,512,0.35,0.3032,6.0,systematic,1552042
ARM1,96,96.0,512,0.35,0.3032,6.0,systematic,1552043
ARM1,96,96.0,512,0.35,0.3032,6.0,systematic,1552044
ARM1,96,96.0,512,0.35,0.3032,6.0,systematic,1552045
ARM1,96,96.0,512,0.35,0.3032,6.0,systematic,1552046
ARM1,96,96.0,512,0.35,0.3032,6.0,systematic,1552047
