source_task,source_arm,source_file,L,T,zeta,lam,N_c,dtau_mult,resample_scheme,seed,status,wall_s,n_steps,cmi_weighted_mean,cmi_within_var,n_nonfinite,n_distinct_anc_final,gess_final,ess_cum_final,ess_frac_mean,brentq_fallbacks
TASK-2026-09-02-SMC-HIGHRUNG-LAMBDA,armB,TASK-2026-09-02-SMC-HIGHRUNG-LAMBDA/armB/results/B_00000.json,64,64.0,0.35,0.2932,1024,6.0,systematic,30300000,ok,1809.34,395,0.4074448424884833,0.049426170523771275,0,2,1.9996262295332063,1012.5727419682477,0.9886982468354656,0
TASK-2026-09-02-SMC-HIGHRUNG-LAMBDA,armB,TASK-2026-09-02-SMC-HIGHRUNG-LAMBDA/armB/results/B_00001.json,64,64.0,0.35,0.2932,1024,6.0,systematic,30300001,ok,1807.84,395,0.42166569643507396,0.05612347742708057,0,2,1.0039138793360958,1011.3853362672604,0.9887530438456035,0
TASK-2026-09-02-SMC-HIGHRUNG-LAMBDA,armB,TASK-2026-09-02-SMC-HIGHRUNG-LAMBDA/armB/results/B_00002.json,64,64.0,0.35,0.2932,1024,6.0,systematic,30300002,ok,1769.16,395,0.4273677182362233,0.055515418235603006,0,4,2.5217671532671173,1011.9974295064679,0.9886835465455677,0
TASK-2026-09-02-SMC-HIGHRUNG-LAMBDA,armB,TASK-2026-09-02-SMC-HIGHRUNG-LAMBDA/armB/results/B_00003.json,64,64.0,0.35,0.2932,1024,6.0,systematic,30300003,ok,1769.18,395,0.42409195246857223,0.06850351327860156,0,3,1.4302729393149918,1012.0715989992236,0.9888218479840244,0
TASK-2026-09-02-SMC-HIGHRUNG-LAMBDA,armB,TASK-2026-09-02-SMC-HIGHRUNG-LAMBDA/armB/results/B_00004.json,64,64.0,0.35,0.2932,1024,6.0,systematic,30300004,ok,1853.07,395,0.4613140528173855,0.04707153834938814,0,3,2.8279206243898227,1013.1229801098227,0.989049323285371,0
TASK-2026-09-02-SMC-HIGHRUNG-LAMBDA,armB,TASK-2026-09-02-SMC-HIGHRUNG-LAMBDA/armB/results/B_00005.json,64,64.0,0.35,0.2932,1024,6.0,systematic,30300005,ok,1837.59,395,0.37698600286922757,0.04803266729139149,0,3,1.0078507662378606,1011.6047072562584,0.9889612744650651,0
TASK-2026-09-02-SMC-HIGHRUNG-LAMBDA,armB,TASK-2026-09-02-SMC-HIGHRUNG-LAMBDA/armB/results/B_00006.json,64,64.0,0.35,0.2932,1024,6.0,systematic,30300006,ok,1820.72,395,0.4029871143641233,0.05303986189257199,0,1,1.0,1012.499970378762,0.9886534794149018,0
TASK-2026-09-02-SMC-HIGHRUNG-LAMBDA,armB,TASK-2026-09-02-SMC-HIGHRUNG-LAMBDA/armB/results/B_00007.json,64,64.0,0.35,0.2932,1024,6.0,systematic,30300007,ok,1844.11,395,0.4081858202128652,0.04712488164408475,0,2,1.2608896413729413,1012.9744150109257,0.9888673582598468,0
TASK-2026-09-02-SMC-HIGHRUNG-LAMBDA,armB,TASK-2026-09-02-SMC-HIGHRUNG-LAMBDA/armB/results/B_00008.json,64,64.0,0.35,0.2932,1024,6.0,systematic,30300008,ok,1858.45,395,0.4131482231927652,0.05608715472907564,0,3,2.19612705407296,1012.0689427355823,0.9888698419642922,0
TASK-2026-09-02-SMC-HIGHRUNG-LAMBDA,armB,TASK-2026-09-02-SMC-HIGHRUNG-LAMBDA/armB/results/B_00009.json,64,64.0,0.35,0.2932,1024,6.0,systematic,30300009,ok,1826.71,395,0.3386965613486122,0.03934053668511197,0,2,1.1548499079270818,1012.6207200808423,0.9883691218964249,0
TASK-2026-09-02-SMC-HIGHRUNG-LAMBDA,armB,TASK-2026-09-02-SMC-HIGHRUNG-LAMBDA/armB/results/B_00010.json,64,64.0,0.35,0.2932,1024,6.0,systematic,30300010,ok,1835.53,395,0.361631276335264,0.047393774101113034,0,2,1.0098133064197707,1011.9628664460319,0.9888282453037889,0
TASK-2026-09-02-SMC-HIGHRUNG-LAMBDA,armB,TASK-2026-09-02-SMC-HIGHRUNG-LAMBDA/armB/results/B_00011.json,64,64.0,0.35,0.2932,1024,6.0,systematic,30300011,ok,1845.31,395,0.415137578135753,0.05234499227195714,0,2,1.330974098341512,1012.1629425013798,0.988770055451985,0
TASK-2026-09-02-SMC-HIGHRUNG-LAMBDA,armB,TASK-2026-09-02-SMC-HIGHRUNG-LAMBDA/armB/results/B_00012.json,64,64.0,0.35,0.2932,1024,6.0,systematic,30300012,ok,1842.42,395,0.44844174948181714,0.05225058888550896,0,3,2.0928574564992637,1012.3983002572402,0.9887407791955874,0
TASK-2026-09-02-SMC-HIGHRUNG-LAMBDA,armB,TASK-2026-09-02-SMC-HIGHRUNG-LAMBDA/armB/results/B_00013.json,64,64.0,0.35,0.2932,1024,6.0,systematic,30300013,ok,2014.16,395,0.42637242356549143,0.06701097091671039,0,3,1.8292796108984715,1011.1067798578122,0.9887849729241754,0
TASK-2026-09-02-SMC-HIGHRUNG-LAMBDA,armB,TASK-2026-09-02-SMC-HIGHRUNG-LAMBDA/armB/results/B_00014.json,64,64.0,0.35,0.2932,1024,6.0,systematic,30300014,ok,1997.17,395,0.3860641284769668,0.04884818614874413,0,1,1.0,1010.9516587860045,0.9885380801787989,0
TASK-2026-09-02-SMC-HIGHRUNG-LAMBDA,armB,TASK-2026-09-02-SMC-HIGHRUNG-LAMBDA/armB/results/B_00015.json,64,64.0,0.35,0.2932,1024,6.0,systematic,30300015,ok,2013.62,395,0.4158912741755893,0.055174615947433434,0,2,1.5698749580798161,1012.2297567680006,0.9887350373695079,0
TASK-2026-09-02-SMC-HIGHRUNG-LAMBDA,armB,TASK-2026-09-02-SMC-HIGHRUNG-LAMBDA/armB/results/B_00016.json,64,64.0,0.35,0.2932,1024,6.0,systematic,30300016,ok,2006.67,395,0.43504284194770765,0.05346536814181599,0,4,1.9137392320046722,1012.4003438566511,0.9887578197377322,0
TASK-2026-09-02-SMC-HIGHRUNG-LAMBDA,armB,TASK-2026-09-02-SMC-HIGHRUNG-LAMBDA/armB/results/B_00017.json,64,64.0,0.35,0.2932,1024,6.0,systematic,30300017,ok,2014.96,395,0.3911129129090822,0.05883203856535585,0,1,1.0,1011.8894996202307,0.9887370648151078,0
TASK-2026-09-02-SMC-HIGHRUNG-LAMBDA,armB,TASK-2026-09-02-SMC-HIGHRUNG-LAMBDA/armB/results/B_00018.json,64,64.0,0.35,0.2932,1024,6.0,systematic,30300018,ok,2007.64,395,0.4380463872483545,0.05119140525941145,0,3,2.3372846220716403,1012.820794778192,0.9884547585334421,0
TASK-2026-09-02-SMC-HIGHRUNG-LAMBDA,armB,TASK-2026-09-02-SMC-HIGHRUNG-LAMBDA/armB/results/B_00019.json,64,64.0,0.35,0.2932,1024,6.0,systematic,30300019,ok,2026.89,395,0.4626977507294815,0.05181455941840615,0,1,1.0,1013.1263478672325,0.9887844792431083,0
TASK-2026-09-02-SMC-HIGHRUNG-LAMBDA,armB,TASK-2026-09-02-SMC-HIGHRUNG-LAMBDA/armB/results/B_00020.json,64,64.0,0.35,0.2932,1024,6.0,systematic,30300020,ok,2012.68,395,0.38707518380946676,0.04613770787156136,0,2,1.644629032460444,1012.6509874442286,0.9885425464463459,0
TASK-2026-09-02-SMC-HIGHRUNG-LAMBDA,armB,TASK-2026-09-02-SMC-HIGHRUNG-LAMBDA/armB/results/B_00021.json,64,64.0,0.35,0.2932,1024,6.0,systematic,30300021,ok,1989.68,395,0.3761356073399857,0.035922301691344645,0,2,1.8908728942233828,1012.3383102146471,0.988349593883254,0
TASK-2026-09-02-SMC-HIGHRUNG-LAMBDA,armB,TASK-2026-09-02-SMC-HIGHRUNG-LAMBDA/armB/results/B_00022.json,64,64.0,0.35,0.2932,1024,6.0,systematic,30300022,ok,2013.38,395,0.4083205568617463,0.05486140964148506,0,2,1.9039470673895755,1012.5679357326944,0.9888166326190775,0
TASK-2026-09-02-SMC-HIGHRUNG-LAMBDA,armB,TASK-2026-09-02-SMC-HIGHRUNG-LAMBDA/armB/results/B_00023.json,64,64.0,0.35,0.2932,1024,6.0,systematic,30300023,ok,2016.31,395,0.39400686744028085,0.03674973967733594,0,3,2.986902449167944,1013.5759366235819,0.9886972246139166,0
TASK-2026-09-02-SMC-HIGHRUNG-LAMBDA,armB,TASK-2026-09-02-SMC-HIGHRUNG-LAMBDA/armB/results/B_00024.json,64,64.0,0.35,0.2932,1024,6.0,systematic,30300024,ok,2034.11,395,0.41517100141734453,0.05413404720548564,0,3,1.1877089808530497,1013.4557411466811,0.989018421423526,0
TASK-2026-09-02-SMC-HIGHRUNG-LAMBDA,armB,TASK-2026-09-02-SMC-HIGHRUNG-LAMBDA/armB/results/B_00025.json,64,64.0,0.35,0.2932,1024,6.0,systematic,30300025,ok,2025.07,395,0.41111516375620083,0.041929245705447954,0,1,1.0,1011.922947800952,0.9884971337209131,0
TASK-2026-09-02-SMC-HIGHRUNG-LAMBDA,armB,TASK-2026-09-02-SMC-HIGHRUNG-LAMBDA/armB/results/B_00026.json,64,64.0,0.35,0.2932,1024,6.0,systematic,30300026,ok,1996.57,395,0.4084619524343412,0.04254567041132178,0,2,1.9818480787767676,1012.7176878170592,0.9885588894192611,0
TASK-2026-09-02-SMC-HIGHRUNG-LAMBDA,armB,TASK-2026-09-02-SMC-HIGHRUNG-LAMBDA/armB/results/B_00027.json,64,64.0,0.35,0.2932,1024,6.0,systematic,30300027,ok,2006.08,395,0.44491793422040515,0.050194559462276335,0,1,1.0,1011.4840630020223,0.988783238232463,0
TASK-2026-09-02-SMC-HIGHRUNG-LAMBDA,armB,TASK-2026-09-02-SMC-HIGHRUNG-LAMBDA/armB/results/B_00028.json,64,64.0,0.35,0.2932,1024,6.0,systematic,30300028,ok,1861.97,395,0.4243350095558149,0.050022221352518825,0,1,1.0,1013.6871880393818,0.9886662760598218,0
TASK-2026-09-02-SMC-HIGHRUNG-LAMBDA,armB,TASK-2026-09-02-SMC-HIGHRUNG-LAMBDA/armB/results/B_00029.json,64,64.0,0.35,0.2932,1024,6.0,systematic,30300029,ok,1850.64,395,0.45733344242140617,0.04931728809132892,0,1,1.0,1012.5989082468421,0.9887124457682644,0
