dataset,source_file,r_alpha_over_w,git_commit,L,lambda,zeta,real,alpha,w,T,N_c,dtau,theta_hat,S_mean,S_std,eff_sample_size,n_T_mean,n_distinct_ancestors,CMI_mean,CMI_std,B_L_mean,B_L_std,S_AB_mean,wall_s,status
boundary,pps/boundary/L112_z0.350_lam0.1775/real000.json,0.21580547112462004,9b617fad03ded5737e9f1bf1610ffeb2a50a0996,112,0.1775,0.35,0,0.1775,0.8225,112.0,128,0.30452988199467074,-6.185078728189984,5.533017585621246,0.21955195366029728,125.07780214123869,0.027700885394038678,1,1.9624308843248475,0.2768871964157494,10.418885169516725,1.7909111065165597,5.301483175763243,1540.4814157485962,ok
boundary,pps/boundary/L112_z0.350_lam0.1775/real001.json,0.21580547112462004,9b617fad03ded5737e9f1bf1610ffeb2a50a0996,112,0.1775,0.35,1,0.1775,0.8225,112.0,128,0.30452988199467074,-6.215652951565807,5.60535416627568,0.21971511268715982,125.52325219233761,0.028920889572143234,1,2.129522330873373,0.2990526004882664,12.388290334587733,2.0371572763581867,5.8099571813475155,1560.0369050502777,ok
boundary,pps/boundary/L112_z0.350_lam0.1775/real002.json,0.21580547112462004,9b617fad03ded5737e9f1bf1610ffeb2a50a0996,112,0.1775,0.35,2,0.1775,0.8225,112.0,128,0.30452988199467074,-6.1737633257953535,5.2697603132410915,0.24696590800272236,125.62771518503207,0.027847621612115306,1,2.1557750073802335,0.29709396512978864,11.043555249814862,1.6465616418022335,5.148592936818249,1561.6689999103546,ok
boundary,pps/boundary/L112_z0.350_lam0.1775/real003.json,0.21580547112462004,9b617fad03ded5737e9f1bf1610ffeb2a50a0996,112,0.1775,0.35,3,0.1775,0.8225,112.0,128,0.30452988199467074,-6.046913773730421,4.705496601625382,0.3440204862688854,124.478897797522,0.027189927759079118,1,1.238107814597205,0.20096494626670852,6.131446201925532,1.3229754702422765,4.926579710602062,1451.9368920326233,ok
boundary,pps/boundary/L112_z0.350_lam0.1775/real004.json,0.21580547112462004,9b617fad03ded5737e9f1bf1610ffeb2a50a0996,112,0.1775,0.35,4,0.1775,0.8225,112.0,128,0.30452988199467074,-6.104136282091232,5.109538521525584,0.341746767124484,125.75763882874337,0.027635396793996056,1,1.9441274205502281,0.2873950255822489,10.546744881093055,1.9972106469965996,5.402023545625838,1594.0670940876007,ok
boundary,pps/boundary/L112_z0.350_lam0.1775/real005.json,0.21580547112462004,9b617fad03ded5737e9f1bf1610ffeb2a50a0996,112,0.1775,0.35,5,0.1775,0.8225,112.0,128,0.30452988199467074,-6.2412408575651686,5.492371622596703,0.19318719070735776,124.99982262477755,0.02835296097205926,1,1.9414701929703568,0.26135283806479803,10.521129284934492,2.0518589358786636,5.388676820685893,1541.4790625572205,ok
boundary,pps/boundary/L112_z0.350_lam0.1775/real006.json,0.21580547112462004,9b617fad03ded5737e9f1bf1610ffeb2a50a0996,112,0.1775,0.35,6,0.1775,0.8225,112.0,128,0.30452988199467074,-6.220344850269525,5.008937348944056,0.46688695072118674,125.19042732444349,0.02786947620194217,1,1.8334989849121834,0.2676325827556003,9.600592764648939,1.847519993795832,5.213851870971466,1594.6692142486572,ok
boundary,pps/boundary/L112_z0.350_lam0.1775/real007.json,0.21580547112462004,9b617fad03ded5737e9f1bf1610ffeb2a50a0996,112,0.1775,0.35,7,0.1775,0.8225,112.0,128,0.30452988199467074,-6.272429222148292,5.470140213886674,0.33607538700919803,125.41538152882636,0.02770410105251307,1,1.4990320226549025,0.3507620506092903,6.911508177904767,2.672706446026096,4.496670383351533,1523.070128917694,ok
boundary,pps/boundary/L112_z0.350_lam0.1775/real008.json,0.21580547112462004,9b617fad03ded5737e9f1bf1610ffeb2a50a0996,112,0.1775,0.35,8,0.1775,0.8225,112.0,128,0.30452988199467074,-6.157309779315874,5.467554857771474,0.23829773970516824,125.93821174552724,0.027755894387772283,1,1.72164111439669,0.24987582017320006,9.593911957827315,1.7876794614086327,5.5545517276255385,1603.518756866455,ok
boundary,pps/boundary/L112_z0.350_lam0.1775/real009.json,0.21580547112462004,9b617fad03ded5737e9f1bf1610ffeb2a50a0996,112,0.1775,0.35,9,0.1775,0.8225,112.0,128,0.30452988199467074,-6.129366924197558,4.7496984264935405,0.36794466484718213,125.13113697128091,0.02714739788202184,1,1.6991858925841274,0.46064929224251155,9.334823600282313,3.098877869988792,5.422271367974794,1469.8024363517761,ok
