arm,L,T,N_c,zeta,lam,dtau_mult,resample_scheme,seed
M64,64,64.0,1024,0.35,0.2332,6.0,systematic,31200000
M64,64,64.0,1024,0.35,0.2332,6.0,systematic,31200001
M64,64,64.0,1024,0.35,0.2332,6.0,systematic,31200002
M64,64,64.0,1024,0.35,0.2332,6.0,systematic,31200003
M64,64,64.0,1024,0.35,0.2332,6.0,systematic,31200004
M64,64,64.0,1024,0.35,0.2332,6.0,systematic,31200005
M64,64,64.0,1024,0.35,0.2332,6.0,systematic,31200006
M64,64,64.0,1024,0.35,0.2332,6.0,systematic,31200007
M64,64,64.0,1024,0.35,0.2332,6.0,systematic,31200008
M64,64,64.0,1024,0.35,0.2332,6.0,systematic,31200009
M64,64,64.0,1024,0.35,0.2332,6.0,systematic,31200010
M64,64,64.0,1024,0.35,0.2332,6.0,systematic,31200011
M64,64,64.0,1024,0.35,0.2332,6.0,systematic,31200012
M64,64,64.0,1024,0.35,0.2332,6.0,systematic,31200013
M64,64,64.0,1024,0.35,0.2332,6.0,systematic,31200014
M64,64,64.0,1024,0.35,0.2332,6.0,systematic,31200015
M64,64,64.0,1024,0.35,0.2332,6.0,systematic,31200016
M64,64,64.0,1024,0.35,0.2332,6.0,systematic,31200017
M64,64,64.0,1024,0.35,0.2332,6.0,systematic,31200018
M64,64,64.0,1024,0.35,0.2332,6.0,systematic,31200019
M64,64,64.0,1024,0.35,0.2332,6.0,systematic,31200020
M64,64,64.0,1024,0.35,0.2332,6.0,systematic,31200021
M64,64,64.0,1024,0.35,0.2332,6.0,systematic,31200022
M64,64,64.0,1024,0.35,0.2332,6.0,systematic,31200023
M64,64,64.0,1024,0.35,0.2432,6.0,systematic,31201000
M64,64,64.0,1024,0.35,0.2432,6.0,systematic,31201001
M64,64,64.0,1024,0.35,0.2432,6.0,systematic,31201002
M64,64,64.0,1024,0.35,0.2432,6.0,systematic,31201003
M64,64,64.0,1024,0.35,0.2432,6.0,systematic,31201004
M64,64,64.0,1024,0.35,0.2432,6.0,systematic,31201005
M64,64,64.0,1024,0.35,0.2432,6.0,systematic,31201006
M64,64,64.0,1024,0.35,0.2432,6.0,systematic,31201007
M64,64,64.0,1024,0.35,0.2432,6.0,systematic,31201008
M64,64,64.0,1024,0.35,0.2432,6.0,systematic,31201009
M64,64,64.0,1024,0.35,0.2432,6.0,systematic,31201010
M64,64,64.0,1024,0.35,0.2432,6.0,systematic,31201011
M64,64,64.0,1024,0.35,0.2432,6.0,systematic,31201012
M64,64,64.0,1024,0.35,0.2432,6.0,systematic,31201013
M64,64,64.0,1024,0.35,0.2432,6.0,systematic,31201014
M64,64,64.0,1024,0.35,0.2432,6.0,systematic,31201015
M64,64,64.0,1024,0.35,0.2432,6.0,systematic,31201016
M64,64,64.0,1024,0.35,0.2432,6.0,systematic,31201017
M64,64,64.0,1024,0.35,0.2432,6.0,systematic,31201018
M64,64,64.0,1024,0.35,0.2432,6.0,systematic,31201019
M64,64,64.0,1024,0.35,0.2432,6.0,systematic,31201020
M64,64,64.0,1024,0.35,0.2432,6.0,systematic,31201021
M64,64,64.0,1024,0.35,0.2432,6.0,systematic,31201022
M64,64,64.0,1024,0.35,0.2432,6.0,systematic,31201023
M64,64,64.0,1024,0.35,0.2532,6.0,systematic,31202000
M64,64,64.0,1024,0.35,0.2532,6.0,systematic,31202001
M64,64,64.0,1024,0.35,0.2532,6.0,systematic,31202002
M64,64,64.0,1024,0.35,0.2532,6.0,systematic,31202003
M64,64,64.0,1024,0.35,0.2532,6.0,systematic,31202004
M64,64,64.0,1024,0.35,0.2532,6.0,systematic,31202005
M64,64,64.0,1024,0.35,0.2532,6.0,systematic,31202006
M64,64,64.0,1024,0.35,0.2532,6.0,systematic,31202007
M64,64,64.0,1024,0.35,0.2532,6.0,systematic,31202008
M64,64,64.0,1024,0.35,0.2532,6.0,systematic,31202009
M64,64,64.0,1024,0.35,0.2532,6.0,systematic,31202010
M64,64,64.0,1024,0.35,0.2532,6.0,systematic,31202011
M64,64,64.0,1024,0.35,0.2532,6.0,systematic,31202012
M64,64,64.0,1024,0.35,0.2532,6.0,systematic,31202013
M64,64,64.0,1024,0.35,0.2532,6.0,systematic,31202014
M64,64,64.0,1024,0.35,0.2532,6.0,systematic,31202015
M64,64,64.0,1024,0.35,0.2532,6.0,systematic,31202016
M64,64,64.0,1024,0.35,0.2532,6.0,systematic,31202017
M64,64,64.0,1024,0.35,0.2532,6.0,systematic,31202018
M64,64,64.0,1024,0.35,0.2532,6.0,systematic,31202019
M64,64,64.0,1024,0.35,0.2532,6.0,systematic,31202020
M64,64,64.0,1024,0.35,0.2532,6.0,systematic,31202021
M64,64,64.0,1024,0.35,0.2532,6.0,systematic,31202022
M64,64,64.0,1024,0.35,0.2532,6.0,systematic,31202023
M64,64,64.0,1024,0.35,0.2632,6.0,systematic,31203000
M64,64,64.0,1024,0.35,0.2632,6.0,systematic,31203001
