arm,L,T,N_c,zeta,lam,dtau_mult,resample_scheme,seed
M64H,64,64.0,2048,0.35,0.2932,6.0,systematic,31306000
M64H,64,64.0,2048,0.35,0.2932,6.0,systematic,31306001
M64H,64,64.0,2048,0.35,0.2932,6.0,systematic,31306002
M64H,64,64.0,2048,0.35,0.2932,6.0,systematic,31306003
M64H,64,64.0,2048,0.35,0.2932,6.0,systematic,31306004
M64H,64,64.0,2048,0.35,0.2932,6.0,systematic,31306005
M64H,64,64.0,2048,0.35,0.2932,6.0,systematic,31306006
M64H,64,64.0,2048,0.35,0.2932,6.0,systematic,31306007
M64H,64,64.0,2048,0.35,0.2932,6.0,systematic,31306008
M64H,64,64.0,2048,0.35,0.2932,6.0,systematic,31306009
M64H,64,64.0,2048,0.35,0.2932,6.0,systematic,31306010
M64H,64,64.0,2048,0.35,0.2932,6.0,systematic,31306011
M64H,64,64.0,2048,0.35,0.2932,6.0,systematic,31306012
M64H,64,64.0,2048,0.35,0.2932,6.0,systematic,31306013
M64H,64,64.0,2048,0.35,0.2932,6.0,systematic,31306014
M64H,64,64.0,2048,0.35,0.2932,6.0,systematic,31306015
M64H,64,64.0,2048,0.35,0.2932,6.0,systematic,31306016
M64H,64,64.0,2048,0.35,0.2932,6.0,systematic,31306017
M64H,64,64.0,2048,0.35,0.2932,6.0,systematic,31306018
M64H,64,64.0,2048,0.35,0.2932,6.0,systematic,31306019
M64H,64,64.0,2048,0.35,0.2932,6.0,systematic,31306020
M64H,64,64.0,2048,0.35,0.2932,6.0,systematic,31306021
M64H,64,64.0,2048,0.35,0.2932,6.0,systematic,31306022
M64H,64,64.0,2048,0.35,0.2932,6.0,systematic,31306023
M64H,64,64.0,2048,0.35,0.3032,6.0,systematic,31307000
M64H,64,64.0,2048,0.35,0.3032,6.0,systematic,31307001
M64H,64,64.0,2048,0.35,0.3032,6.0,systematic,31307002
M64H,64,64.0,2048,0.35,0.3032,6.0,systematic,31307003
M64H,64,64.0,2048,0.35,0.3032,6.0,systematic,31307004
M64H,64,64.0,2048,0.35,0.3032,6.0,systematic,31307005
M64H,64,64.0,2048,0.35,0.3032,6.0,systematic,31307006
M64H,64,64.0,2048,0.35,0.3032,6.0,systematic,31307007
M64H,64,64.0,2048,0.35,0.3032,6.0,systematic,31307008
M64H,64,64.0,2048,0.35,0.3032,6.0,systematic,31307009
M64H,64,64.0,2048,0.35,0.3032,6.0,systematic,31307010
M64H,64,64.0,2048,0.35,0.3032,6.0,systematic,31307011
M64H,64,64.0,2048,0.35,0.3032,6.0,systematic,31307012
M64H,64,64.0,2048,0.35,0.3032,6.0,systematic,31307013
M64H,64,64.0,2048,0.35,0.3032,6.0,systematic,31307014
M64H,64,64.0,2048,0.35,0.3032,6.0,systematic,31307015
M64H,64,64.0,2048,0.35,0.3032,6.0,systematic,31307016
M64H,64,64.0,2048,0.35,0.3032,6.0,systematic,31307017
M64H,64,64.0,2048,0.35,0.3032,6.0,systematic,31307018
M64H,64,64.0,2048,0.35,0.3032,6.0,systematic,31307019
M64H,64,64.0,2048,0.35,0.3032,6.0,systematic,31307020
M64H,64,64.0,2048,0.35,0.3032,6.0,systematic,31307021
M64H,64,64.0,2048,0.35,0.3032,6.0,systematic,31307022
M64H,64,64.0,2048,0.35,0.3032,6.0,systematic,31307023
M64H,64,64.0,2048,0.35,0.3132,6.0,systematic,31308000
M64H,64,64.0,2048,0.35,0.3132,6.0,systematic,31308001
M64H,64,64.0,2048,0.35,0.3132,6.0,systematic,31308002
M64H,64,64.0,2048,0.35,0.3132,6.0,systematic,31308003
M64H,64,64.0,2048,0.35,0.3132,6.0,systematic,31308004
M64H,64,64.0,2048,0.35,0.3132,6.0,systematic,31308005
M64H,64,64.0,2048,0.35,0.3132,6.0,systematic,31308006
M64H,64,64.0,2048,0.35,0.3132,6.0,systematic,31308007
M64H,64,64.0,2048,0.35,0.3132,6.0,systematic,31308008
M64H,64,64.0,2048,0.35,0.3132,6.0,systematic,31308009
M64H,64,64.0,2048,0.35,0.3132,6.0,systematic,31308010
M64H,64,64.0,2048,0.35,0.3132,6.0,systematic,31308011
M64H,64,64.0,2048,0.35,0.3132,6.0,systematic,31308012
M64H,64,64.0,2048,0.35,0.3132,6.0,systematic,31308013
M64H,64,64.0,2048,0.35,0.3132,6.0,systematic,31308014
M64H,64,64.0,2048,0.35,0.3132,6.0,systematic,31308015
M64H,64,64.0,2048,0.35,0.3132,6.0,systematic,31308016
M64H,64,64.0,2048,0.35,0.3132,6.0,systematic,31308017
M64H,64,64.0,2048,0.35,0.3132,6.0,systematic,31308018
M64H,64,64.0,2048,0.35,0.3132,6.0,systematic,31308019
M64H,64,64.0,2048,0.35,0.3132,6.0,systematic,31308020
M64H,64,64.0,2048,0.35,0.3132,6.0,systematic,31308021
M64H,64,64.0,2048,0.35,0.3132,6.0,systematic,31308022
M64H,64,64.0,2048,0.35,0.3132,6.0,systematic,31308023
