arm,L,T,N_c,zeta,lam,dtau_mult,resample_scheme,seed
C32,32,32.0,128,0.35,0.2332,6.0,systematic,31400000
C32,32,32.0,128,0.35,0.2332,6.0,systematic,31400001
C32,32,32.0,128,0.35,0.2332,6.0,systematic,31400002
C32,32,32.0,128,0.35,0.2332,6.0,systematic,31400003
C32,32,32.0,128,0.35,0.2332,6.0,systematic,31400004
C32,32,32.0,128,0.35,0.2332,6.0,systematic,31400005
C32,32,32.0,128,0.35,0.2332,6.0,systematic,31400006
C32,32,32.0,128,0.35,0.2332,6.0,systematic,31400007
C32,32,32.0,128,0.35,0.2332,6.0,systematic,31400008
C32,32,32.0,128,0.35,0.2332,6.0,systematic,31400009
C32,32,32.0,128,0.35,0.2332,6.0,systematic,31400010
C32,32,32.0,128,0.35,0.2332,6.0,systematic,31400011
C32,32,32.0,128,0.35,0.2332,6.0,systematic,31400012
C32,32,32.0,128,0.35,0.2332,6.0,systematic,31400013
C32,32,32.0,128,0.35,0.2332,6.0,systematic,31400014
C32,32,32.0,128,0.35,0.2332,6.0,systematic,31400015
C32,32,32.0,128,0.35,0.2332,6.0,systematic,31400016
C32,32,32.0,128,0.35,0.2332,6.0,systematic,31400017
C32,32,32.0,128,0.35,0.2332,6.0,systematic,31400018
C32,32,32.0,128,0.35,0.2332,6.0,systematic,31400019
C32,32,32.0,128,0.35,0.2332,6.0,systematic,31400020
C32,32,32.0,128,0.35,0.2332,6.0,systematic,31400021
C32,32,32.0,128,0.35,0.2332,6.0,systematic,31400022
C32,32,32.0,128,0.35,0.2332,6.0,systematic,31400023
C32,32,32.0,128,0.35,0.2332,6.0,systematic,31400024
C32,32,32.0,128,0.35,0.2332,6.0,systematic,31400025
C32,32,32.0,128,0.35,0.2332,6.0,systematic,31400026
C32,32,32.0,128,0.35,0.2332,6.0,systematic,31400027
C32,32,32.0,128,0.35,0.2332,6.0,systematic,31400028
C32,32,32.0,128,0.35,0.2332,6.0,systematic,31400029
C32,32,32.0,128,0.35,0.2332,6.0,systematic,31400030
C32,32,32.0,128,0.35,0.2332,6.0,systematic,31400031
C32,32,32.0,128,0.35,0.2332,6.0,systematic,31400032
C32,32,32.0,128,0.35,0.2332,6.0,systematic,31400033
C32,32,32.0,128,0.35,0.2332,6.0,systematic,31400034
C32,32,32.0,128,0.35,0.2332,6.0,systematic,31400035
C32,32,32.0,128,0.35,0.2332,6.0,systematic,31400036
C32,32,32.0,128,0.35,0.2332,6.0,systematic,31400037
C32,32,32.0,128,0.35,0.2332,6.0,systematic,31400038
C32,32,32.0,128,0.35,0.2332,6.0,systematic,31400039
C32,32,32.0,128,0.35,0.2332,6.0,systematic,31400040
C32,32,32.0,128,0.35,0.2332,6.0,systematic,31400041
C32,32,32.0,128,0.35,0.2332,6.0,systematic,31400042
C32,32,32.0,128,0.35,0.2332,6.0,systematic,31400043
C32,32,32.0,128,0.35,0.2332,6.0,systematic,31400044
C32,32,32.0,128,0.35,0.2332,6.0,systematic,31400045
C32,32,32.0,128,0.35,0.2332,6.0,systematic,31400046
C32,32,32.0,128,0.35,0.2332,6.0,systematic,31400047
C32,32,32.0,128,0.35,0.2432,6.0,systematic,31401000
C32,32,32.0,128,0.35,0.2432,6.0,systematic,31401001
C32,32,32.0,128,0.35,0.2432,6.0,systematic,31401002
C32,32,32.0,128,0.35,0.2432,6.0,systematic,31401003
C32,32,32.0,128,0.35,0.2432,6.0,systematic,31401004
C32,32,32.0,128,0.35,0.2432,6.0,systematic,31401005
C32,32,32.0,128,0.35,0.2432,6.0,systematic,31401006
C32,32,32.0,128,0.35,0.2432,6.0,systematic,31401007
C32,32,32.0,128,0.35,0.2432,6.0,systematic,31401008
C32,32,32.0,128,0.35,0.2432,6.0,systematic,31401009
C32,32,32.0,128,0.35,0.2432,6.0,systematic,31401010
C32,32,32.0,128,0.35,0.2432,6.0,systematic,31401011
C32,32,32.0,128,0.35,0.2432,6.0,systematic,31401012
