arm,L,T,N_c,zeta,lam,dtau_mult,resample_scheme,seed
A1024,128,128.0,1024,0.35,0.3032,6.0,systematic,30200000
A1024,128,128.0,1024,0.35,0.3032,6.0,systematic,30200001
A1024,128,128.0,1024,0.35,0.3032,6.0,systematic,30200002
A1024,128,128.0,1024,0.35,0.3032,6.0,systematic,30200003
A1024,128,128.0,1024,0.35,0.3032,6.0,systematic,30200004
A1024,128,128.0,1024,0.35,0.3032,6.0,systematic,30200005
A1024,128,128.0,1024,0.35,0.3032,6.0,systematic,30200006
A1024,128,128.0,1024,0.35,0.3032,6.0,systematic,30200007
A1024,128,128.0,1024,0.35,0.3032,6.0,systematic,30200008
A1024,128,128.0,1024,0.35,0.3032,6.0,systematic,30200009
A1024,128,128.0,1024,0.35,0.3032,6.0,systematic,30200010
A1024,128,128.0,1024,0.35,0.3032,6.0,systematic,30200011
A1024,128,128.0,1024,0.35,0.3032,6.0,systematic,30200012
A1024,128,128.0,1024,0.35,0.3032,6.0,systematic,30200013
A1024,128,128.0,1024,0.35,0.3032,6.0,systematic,30200014
A1024,128,128.0,1024,0.35,0.3032,6.0,systematic,30200015
A1024,128,128.0,1024,0.35,0.3032,6.0,systematic,30200016
A1024,128,128.0,1024,0.35,0.3032,6.0,systematic,30200017
A1024,128,128.0,1024,0.35,0.3032,6.0,systematic,30200018
A1024,128,128.0,1024,0.35,0.3032,6.0,systematic,30200019
A1024,128,128.0,1024,0.35,0.3032,6.0,systematic,30200020
A1024,128,128.0,1024,0.35,0.3032,6.0,systematic,30200021
A1024,128,128.0,1024,0.35,0.3032,6.0,systematic,30200022
A1024,128,128.0,1024,0.35,0.3032,6.0,systematic,30200023
A1024,128,128.0,1024,0.35,0.3032,6.0,systematic,30200024
A1024,128,128.0,1024,0.35,0.3032,6.0,systematic,30200025
A1024,128,128.0,1024,0.35,0.3032,6.0,systematic,30200026
A1024,128,128.0,1024,0.35,0.3032,6.0,systematic,30200027
A1024,128,128.0,1024,0.35,0.3032,6.0,systematic,30200028
A1024,128,128.0,1024,0.35,0.3032,6.0,systematic,30200029
A1024,128,128.0,1024,0.35,0.3032,6.0,systematic,30200030
A1024,128,128.0,1024,0.35,0.3032,6.0,systematic,30200031
