arm,L,T,N_c,zeta,lam,dtau_mult,resample_scheme,seed
A2048,128,128.0,2048,0.35,0.3032,6.0,systematic,30500000
A2048,128,128.0,2048,0.35,0.3032,6.0,systematic,30500001
A2048,128,128.0,2048,0.35,0.3032,6.0,systematic,30500002
A2048,128,128.0,2048,0.35,0.3032,6.0,systematic,30500003
A2048,128,128.0,2048,0.35,0.3032,6.0,systematic,30500004
A2048,128,128.0,2048,0.35,0.3032,6.0,systematic,30500005
A2048,128,128.0,2048,0.35,0.3032,6.0,systematic,30500006
A2048,128,128.0,2048,0.35,0.3032,6.0,systematic,30500007
A2048,128,128.0,2048,0.35,0.3032,6.0,systematic,30500008
A2048,128,128.0,2048,0.35,0.3032,6.0,systematic,30500009
A2048,128,128.0,2048,0.35,0.3032,6.0,systematic,30500010
A2048,128,128.0,2048,0.35,0.3032,6.0,systematic,30500011
A2048,128,128.0,2048,0.35,0.3032,6.0,systematic,30500012
A2048,128,128.0,2048,0.35,0.3032,6.0,systematic,30500013
A2048,128,128.0,2048,0.35,0.3032,6.0,systematic,30500014
A2048,128,128.0,2048,0.35,0.3032,6.0,systematic,30500015
