arm,L,T,N_c,zeta,lam,dtau_mult,resample_scheme,seed
B,64,64.0,1024,0.35,0.2932,6.0,systematic,30300000
B,64,64.0,1024,0.35,0.2932,6.0,systematic,30300001
B,64,64.0,1024,0.35,0.2932,6.0,systematic,30300002
B,64,64.0,1024,0.35,0.2932,6.0,systematic,30300003
B,64,64.0,1024,0.35,0.2932,6.0,systematic,30300004
B,64,64.0,1024,0.35,0.2932,6.0,systematic,30300005
B,64,64.0,1024,0.35,0.2932,6.0,systematic,30300006
B,64,64.0,1024,0.35,0.2932,6.0,systematic,30300007
B,64,64.0,1024,0.35,0.2932,6.0,systematic,30300008
B,64,64.0,1024,0.35,0.2932,6.0,systematic,30300009
B,64,64.0,1024,0.35,0.2932,6.0,systematic,30300010
B,64,64.0,1024,0.35,0.2932,6.0,systematic,30300011
B,64,64.0,1024,0.35,0.2932,6.0,systematic,30300012
B,64,64.0,1024,0.35,0.2932,6.0,systematic,30300013
B,64,64.0,1024,0.35,0.2932,6.0,systematic,30300014
B,64,64.0,1024,0.35,0.2932,6.0,systematic,30300015
B,64,64.0,1024,0.35,0.2932,6.0,systematic,30300016
B,64,64.0,1024,0.35,0.2932,6.0,systematic,30300017
B,64,64.0,1024,0.35,0.2932,6.0,systematic,30300018
B,64,64.0,1024,0.35,0.2932,6.0,systematic,30300019
B,64,64.0,1024,0.35,0.2932,6.0,systematic,30300020
B,64,64.0,1024,0.35,0.2932,6.0,systematic,30300021
B,64,64.0,1024,0.35,0.2932,6.0,systematic,30300022
B,64,64.0,1024,0.35,0.2932,6.0,systematic,30300023
B,64,64.0,1024,0.35,0.2932,6.0,systematic,30300024
B,64,64.0,1024,0.35,0.2932,6.0,systematic,30300025
B,64,64.0,1024,0.35,0.2932,6.0,systematic,30300026
B,64,64.0,1024,0.35,0.2932,6.0,systematic,30300027
B,64,64.0,1024,0.35,0.2932,6.0,systematic,30300028
B,64,64.0,1024,0.35,0.2932,6.0,systematic,30300029
B,64,64.0,1024,0.35,0.2932,6.0,systematic,30300030
B,64,64.0,1024,0.35,0.2932,6.0,systematic,30300031
B,64,64.0,1024,0.35,0.2932,6.0,systematic,30300032
B,64,64.0,1024,0.35,0.2932,6.0,systematic,30300033
B,64,64.0,1024,0.35,0.2932,6.0,systematic,30300034
B,64,64.0,1024,0.35,0.2932,6.0,systematic,30300035
B,64,64.0,1024,0.35,0.2932,6.0,systematic,30300036
B,64,64.0,1024,0.35,0.2932,6.0,systematic,30300037
B,64,64.0,1024,0.35,0.2932,6.0,systematic,30300038
B,64,64.0,1024,0.35,0.2932,6.0,systematic,30300039
B,64,64.0,1024,0.35,0.2932,6.0,systematic,30300040
B,64,64.0,1024,0.35,0.2932,6.0,systematic,30300041
B,64,64.0,1024,0.35,0.2932,6.0,systematic,30300042
B,64,64.0,1024,0.35,0.2932,6.0,systematic,30300043
B,64,64.0,1024,0.35,0.2932,6.0,systematic,30300044
B,64,64.0,1024,0.35,0.2932,6.0,systematic,30300045
B,64,64.0,1024,0.35,0.2932,6.0,systematic,30300046
B,64,64.0,1024,0.35,0.2932,6.0,systematic,30300047
B,64,64.0,1024,0.35,0.2932,6.0,systematic,30300048
B,64,64.0,1024,0.35,0.2932,6.0,systematic,30300049
B,64,64.0,1024,0.35,0.2932,6.0,systematic,30300050
B,64,64.0,1024,0.35,0.2932,6.0,systematic,30300051
B,64,64.0,1024,0.35,0.2932,6.0,systematic,30300052
B,64,64.0,1024,0.35,0.2932,6.0,systematic,30300053
B,64,64.0,1024,0.35,0.2932,6.0,systematic,30300054
B,64,64.0,1024,0.35,0.2932,6.0,systematic,30300055
B,64,64.0,1024,0.35,0.2932,6.0,systematic,30300056
B,64,64.0,1024,0.35,0.2932,6.0,systematic,30300057
B,64,64.0,1024,0.35,0.2932,6.0,systematic,30300058
B,64,64.0,1024,0.35,0.2932,6.0,systematic,30300059
B,64,64.0,1024,0.35,0.2932,6.0,systematic,30300060
B,64,64.0,1024,0.35,0.2932,6.0,systematic,30300061
B,64,64.0,1024,0.35,0.2932,6.0,systematic,30300062
B,64,64.0,1024,0.35,0.2932,6.0,systematic,30300063
B,64,64.0,1024,0.35,0.2932,6.0,systematic,30300064
B,64,64.0,1024,0.35,0.2932,6.0,systematic,30300065
B,64,64.0,1024,0.35,0.2932,6.0,systematic,30300066
B,64,64.0,1024,0.35,0.2932,6.0,systematic,30300067
B,64,64.0,1024,0.35,0.2932,6.0,systematic,30300068
B,64,64.0,1024,0.35,0.2932,6.0,systematic,30300069
B,64,64.0,1024,0.35,0.2932,6.0,systematic,30300070
B,64,64.0,1024,0.35,0.2932,6.0,systematic,30300071
B,64,64.0,1024,0.35,0.2932,6.0,systematic,30300072
B,64,64.0,1024,0.35,0.2932,6.0,systematic,30300073
B,64,64.0,1024,0.35,0.2932,6.0,systematic,30300074
B,64,64.0,1024,0.35,0.2932,6.0,systematic,30300075
B,64,64.0,1024,0.35,0.2932,6.0,systematic,30300076
B,64,64.0,1024,0.35,0.2932,6.0,systematic,30300077
B,64,64.0,1024,0.35,0.2932,6.0,systematic,30300078
B,64,64.0,1024,0.35,0.2932,6.0,systematic,30300079
B,64,64.0,1024,0.35,0.2932,6.0,systematic,30300080
B,64,64.0,1024,0.35,0.2932,6.0,systematic,30300081
