arm,L,T,N_c,zeta,lam,dtau_mult,resample_scheme,seed
C,128,128.0,512,0.35,0.2932,6.0,systematic,30400000
C,128,128.0,512,0.35,0.2932,6.0,systematic,30400001
C,128,128.0,512,0.35,0.2932,6.0,systematic,30400002
C,128,128.0,512,0.35,0.2932,6.0,systematic,30400003
C,128,128.0,512,0.35,0.2932,6.0,systematic,30400004
C,128,128.0,512,0.35,0.2932,6.0,systematic,30400005
C,128,128.0,512,0.35,0.2932,6.0,systematic,30400006
C,128,128.0,512,0.35,0.2932,6.0,systematic,30400007
C,128,128.0,512,0.35,0.2932,6.0,systematic,30400008
C,128,128.0,512,0.35,0.2932,6.0,systematic,30400009
C,128,128.0,512,0.35,0.2932,6.0,systematic,30400010
C,128,128.0,512,0.35,0.2932,6.0,systematic,30400011
C,128,128.0,512,0.35,0.2932,6.0,systematic,30400012
C,128,128.0,512,0.35,0.2932,6.0,systematic,30400013
C,128,128.0,512,0.35,0.2932,6.0,systematic,30400014
C,128,128.0,512,0.35,0.2932,6.0,systematic,30400015
C,128,128.0,512,0.35,0.2932,6.0,systematic,30400016
C,128,128.0,512,0.35,0.2932,6.0,systematic,30400017
C,128,128.0,512,0.35,0.2932,6.0,systematic,30400018
C,128,128.0,512,0.35,0.2932,6.0,systematic,30400019
C,128,128.0,512,0.35,0.2932,6.0,systematic,30400020
C,128,128.0,512,0.35,0.2932,6.0,systematic,30400021
C,128,128.0,512,0.35,0.2932,6.0,systematic,30400022
C,128,128.0,512,0.35,0.2932,6.0,systematic,30400023
C,128,128.0,512,0.35,0.2932,6.0,systematic,30400024
C,128,128.0,512,0.35,0.2932,6.0,systematic,30400025
C,128,128.0,512,0.35,0.2932,6.0,systematic,30400026
C,128,128.0,512,0.35,0.2932,6.0,systematic,30400027
C,128,128.0,512,0.35,0.2932,6.0,systematic,30400028
C,128,128.0,512,0.35,0.2932,6.0,systematic,30400029
C,128,128.0,512,0.35,0.2932,6.0,systematic,30400030
C,128,128.0,512,0.35,0.2932,6.0,systematic,30400031
C,128,128.0,512,0.35,0.2932,6.0,systematic,30400032
C,128,128.0,512,0.35,0.2932,6.0,systematic,30400033
C,128,128.0,512,0.35,0.2932,6.0,systematic,30400034
