source_task,source_arm,source_file,L,T,zeta,lam,N_c,dtau_mult,resample_scheme,seed,status,wall_s,n_steps,cmi_weighted_mean,cmi_within_var,n_nonfinite,n_distinct_anc_final,gess_final,ess_cum_final,ess_frac_mean,brentq_fallbacks
TASK-2026-09-02-MOCK-PRODUCTION,mockL32,TASK-2026-09-02-MOCK-PRODUCTION/mockL32/results/M32_00000.json,32,32.0,0.35,0.2332,1024,6.0,systematic,31000000,ok,120.9,78,0.7976927608334193,0.08978258123945665,0,28,8.716777229121984,1003.5061186945043,0.9787302102261918,0
TASK-2026-09-02-MOCK-PRODUCTION,mockL32,TASK-2026-09-02-MOCK-PRODUCTION/mockL32/results/M32_00001.json,32,32.0,0.35,0.2332,1024,6.0,systematic,31000001,ok,119.75,78,0.8579430768582822,0.11387747944273972,0,30,10.420320387963589,1002.4210967380466,0.978954320645323,0
TASK-2026-09-02-MOCK-PRODUCTION,mockL32,TASK-2026-09-02-MOCK-PRODUCTION/mockL32/results/M32_00002.json,32,32.0,0.35,0.2332,1024,6.0,systematic,31000002,ok,141.35,78,0.7850642271878697,0.09733208736225375,0,22,12.11526285384171,1003.8889673257545,0.9783663156943815,0
TASK-2026-09-02-MOCK-PRODUCTION,mockL32,TASK-2026-09-02-MOCK-PRODUCTION/mockL32/results/M32_00003.json,32,32.0,0.35,0.2332,1024,6.0,systematic,31000003,ok,143.04,78,0.8603832452228879,0.10023258818359068,0,25,10.704342677474019,1002.8728310796506,0.9791666520735308,0
TASK-2026-09-02-MOCK-PRODUCTION,mockL32,TASK-2026-09-02-MOCK-PRODUCTION/mockL32/results/M32_00004.json,32,32.0,0.35,0.2332,1024,6.0,systematic,31000004,ok,142.5,78,0.7895370238182807,0.11306565668282768,0,25,8.300424292318409,1002.162036903964,0.9786617417710597,0
TASK-2026-09-02-MOCK-PRODUCTION,mockL32,TASK-2026-09-02-MOCK-PRODUCTION/mockL32/results/M32_00005.json,32,32.0,0.35,0.2332,1024,6.0,systematic,31000005,ok,142.07,78,0.8719321228959668,0.10916130044758376,0,26,7.035534084809447,1002.5218550854422,0.9791644929868202,0
TASK-2026-09-02-MOCK-PRODUCTION,mockL32,TASK-2026-09-02-MOCK-PRODUCTION/mockL32/results/M32_00006.json,32,32.0,0.35,0.2332,1024,6.0,systematic,31000006,ok,136.28,78,0.8320931433082673,0.08954703629443321,0,27,6.1511603350775514,1003.3009998445045,0.9791712825822275,0
TASK-2026-09-02-MOCK-PRODUCTION,mockL32,TASK-2026-09-02-MOCK-PRODUCTION/mockL32/results/M32_00007.json,32,32.0,0.35,0.2332,1024,6.0,systematic,31000007,ok,136.54,78,0.8237792801020138,0.09930491116075633,0,22,7.137831509012688,1002.6136186314932,0.978708383791323,0
TASK-2026-09-02-MOCK-PRODUCTION,mockL32,TASK-2026-09-02-MOCK-PRODUCTION/mockL32/results/M32_00008.json,32,32.0,0.35,0.2332,1024,6.0,systematic,31000008,ok,136.56,78,0.8019331266591587,0.10285215560844535,0,23,5.762483101238693,1000.7129617995038,0.9788294796163072,0
TASK-2026-09-02-MOCK-PRODUCTION,mockL32,TASK-2026-09-02-MOCK-PRODUCTION/mockL32/results/M32_00009.json,32,32.0,0.35,0.2332,1024,6.0,systematic,31000009,ok,136.0,78,0.833197702518321,0.09874965716803345,0,25,8.206232684812722,1001.936909835015,0.9782086553180744,0
