arm,L,T,N_c,zeta,lam,dtau_mult,resample_scheme,seed
X64,64,64.0,1024,0.35,0.1932,6.0,systematic,32200000
X64,64,64.0,1024,0.35,0.1932,6.0,systematic,32200001
X64,64,64.0,1024,0.35,0.1932,6.0,systematic,32200002
X64,64,64.0,1024,0.35,0.1932,6.0,systematic,32200003
X64,64,64.0,1024,0.35,0.1932,6.0,systematic,32200004
X64,64,64.0,1024,0.35,0.1932,6.0,systematic,32200005
X64,64,64.0,1024,0.35,0.1932,6.0,systematic,32200006
X64,64,64.0,1024,0.35,0.1932,6.0,systematic,32200007
X64,64,64.0,1024,0.35,0.1932,6.0,systematic,32200008
X64,64,64.0,1024,0.35,0.1932,6.0,systematic,32200009
X64,64,64.0,1024,0.35,0.1932,6.0,systematic,32200010
X64,64,64.0,1024,0.35,0.1932,6.0,systematic,32200011
X64,64,64.0,1024,0.35,0.1932,6.0,systematic,32200012
X64,64,64.0,1024,0.35,0.1932,6.0,systematic,32200013
X64,64,64.0,1024,0.35,0.1932,6.0,systematic,32200014
X64,64,64.0,1024,0.35,0.1932,6.0,systematic,32200015
X64,64,64.0,1024,0.35,0.1932,6.0,systematic,32200016
X64,64,64.0,1024,0.35,0.1932,6.0,systematic,32200017
X64,64,64.0,1024,0.35,0.1932,6.0,systematic,32200018
X64,64,64.0,1024,0.35,0.1932,6.0,systematic,32200019
X64,64,64.0,1024,0.35,0.1932,6.0,systematic,32200020
X64,64,64.0,1024,0.35,0.1932,6.0,systematic,32200021
X64,64,64.0,1024,0.35,0.1932,6.0,systematic,32200022
X64,64,64.0,1024,0.35,0.1932,6.0,systematic,32200023
X64,64,64.0,1024,0.35,0.2032,6.0,systematic,32201000
X64,64,64.0,1024,0.35,0.2032,6.0,systematic,32201001
X64,64,64.0,1024,0.35,0.2032,6.0,systematic,32201002
X64,64,64.0,1024,0.35,0.2032,6.0,systematic,32201003
X64,64,64.0,1024,0.35,0.2032,6.0,systematic,32201004
X64,64,64.0,1024,0.35,0.2032,6.0,systematic,32201005
X64,64,64.0,1024,0.35,0.2032,6.0,systematic,32201006
X64,64,64.0,1024,0.35,0.2032,6.0,systematic,32201007
X64,64,64.0,1024,0.35,0.2032,6.0,systematic,32201008
X64,64,64.0,1024,0.35,0.2032,6.0,systematic,32201009
