arm,L,T,N_c,zeta,lam,dtau_mult,resample_scheme,seed
A2048,64,64.0,2048,0.35,0.3032,6.0,systematic,33000024
A2048,64,64.0,2048,0.35,0.3032,6.0,systematic,33000025
A2048,64,64.0,2048,0.35,0.3032,6.0,systematic,33000026
A2048,64,64.0,2048,0.35,0.3032,6.0,systematic,33000027
A2048,64,64.0,2048,0.35,0.3032,6.0,systematic,33000028
A2048,64,64.0,2048,0.35,0.3032,6.0,systematic,33000029
A2048,64,64.0,2048,0.35,0.3032,6.0,systematic,33000030
A2048,64,64.0,2048,0.35,0.3032,6.0,systematic,33000031
A2048,64,64.0,2048,0.35,0.3032,6.0,systematic,33000032
A2048,64,64.0,2048,0.35,0.3032,6.0,systematic,33000033
A2048,64,64.0,2048,0.35,0.3032,6.0,systematic,33000034
A2048,64,64.0,2048,0.35,0.3032,6.0,systematic,33000035
A2048,64,64.0,2048,0.35,0.3032,6.0,systematic,33000036
A2048,64,64.0,2048,0.35,0.3032,6.0,systematic,33000037
A2048,64,64.0,2048,0.35,0.3032,6.0,systematic,33000038
A2048,64,64.0,2048,0.35,0.3032,6.0,systematic,33000039
A2048,64,64.0,2048,0.35,0.3032,6.0,systematic,33000040
A2048,64,64.0,2048,0.35,0.3032,6.0,systematic,33000041
A2048,64,64.0,2048,0.35,0.3032,6.0,systematic,33000042
A2048,64,64.0,2048,0.35,0.3032,6.0,systematic,33000043
A2048,64,64.0,2048,0.35,0.3032,6.0,systematic,33000044
A2048,64,64.0,2048,0.35,0.3032,6.0,systematic,33000045
A2048,64,64.0,2048,0.35,0.3032,6.0,systematic,33000046
A2048,64,64.0,2048,0.35,0.3032,6.0,systematic,33000047
