arm,L,T,N_c,zeta,lam,dtau_mult,resample_scheme,seed
A8192,64,64.0,8192,0.35,0.3032,6.0,systematic,33040000
A8192,64,64.0,8192,0.35,0.3032,6.0,systematic,33040001
A8192,64,64.0,8192,0.35,0.3032,6.0,systematic,33040002
A8192,64,64.0,8192,0.35,0.3032,6.0,systematic,33040003
A8192,64,64.0,8192,0.35,0.3032,6.0,systematic,33040004
A8192,64,64.0,8192,0.35,0.3032,6.0,systematic,33040005
A8192,64,64.0,8192,0.35,0.3032,6.0,systematic,33040006
A8192,64,64.0,8192,0.35,0.3032,6.0,systematic,33040007
A8192,64,64.0,8192,0.35,0.3032,6.0,systematic,33040008
A8192,64,64.0,8192,0.35,0.3032,6.0,systematic,33040009
A8192,64,64.0,8192,0.35,0.3032,6.0,systematic,33040010
A8192,64,64.0,8192,0.35,0.3032,6.0,systematic,33040011
A8192,64,64.0,8192,0.35,0.3032,6.0,systematic,33040012
A8192,64,64.0,8192,0.35,0.3032,6.0,systematic,33040013
A8192,64,64.0,8192,0.35,0.3032,6.0,systematic,33040014
A8192,64,64.0,8192,0.35,0.3032,6.0,systematic,33040015
A8192,64,64.0,8192,0.35,0.3032,6.0,systematic,33040016
A8192,64,64.0,8192,0.35,0.3032,6.0,systematic,33040017
A8192,64,64.0,8192,0.35,0.3032,6.0,systematic,33040018
A8192,64,64.0,8192,0.35,0.3032,6.0,systematic,33040019
A8192,64,64.0,8192,0.35,0.3032,6.0,systematic,33040020
A8192,64,64.0,8192,0.35,0.3032,6.0,systematic,33040021
A8192,64,64.0,8192,0.35,0.3032,6.0,systematic,33040022
A8192,64,64.0,8192,0.35,0.3032,6.0,systematic,33040023
A8192,64,64.0,8192,0.35,0.3032,6.0,systematic,33040024
A8192,64,64.0,8192,0.35,0.3032,6.0,systematic,33040025
A8192,64,64.0,8192,0.35,0.3032,6.0,systematic,33040026
A8192,64,64.0,8192,0.35,0.3032,6.0,systematic,33040027
A8192,64,64.0,8192,0.35,0.3032,6.0,systematic,33040028
A8192,64,64.0,8192,0.35,0.3032,6.0,systematic,33040029
A8192,64,64.0,8192,0.35,0.3032,6.0,systematic,33040030
A8192,64,64.0,8192,0.35,0.3032,6.0,systematic,33040031
A8192,64,64.0,8192,0.35,0.3032,6.0,systematic,33040032
A8192,64,64.0,8192,0.35,0.3032,6.0,systematic,33040033
A8192,64,64.0,8192,0.35,0.3032,6.0,systematic,33040034
A8192,64,64.0,8192,0.35,0.3032,6.0,systematic,33040035
A8192,64,64.0,8192,0.35,0.3032,6.0,systematic,33040036
A8192,64,64.0,8192,0.35,0.3032,6.0,systematic,33040037
A8192,64,64.0,8192,0.35,0.3032,6.0,systematic,33040038
A8192,64,64.0,8192,0.35,0.3032,6.0,systematic,33040039
A8192,64,64.0,8192,0.35,0.3032,6.0,systematic,33040040
A8192,64,64.0,8192,0.35,0.3032,6.0,systematic,33040041
A8192,64,64.0,8192,0.35,0.3032,6.0,systematic,33040042
A8192,64,64.0,8192,0.35,0.3032,6.0,systematic,33040043
A8192,64,64.0,8192,0.35,0.3032,6.0,systematic,33040044
A8192,64,64.0,8192,0.35,0.3032,6.0,systematic,33040045
A8192,64,64.0,8192,0.35,0.3032,6.0,systematic,33040046
A8192,64,64.0,8192,0.35,0.3032,6.0,systematic,33040047
