arm,L,T,N_c,zeta,lam,dtau_mult,resample_scheme,seed
Y48N2048,48,48.0,2048,0.35,0.2182,6.0,systematic,33220000
Y48N2048,48,48.0,2048,0.35,0.2182,6.0,systematic,33220001
Y48N2048,48,48.0,2048,0.35,0.2182,6.0,systematic,33220002
Y48N2048,48,48.0,2048,0.35,0.2182,6.0,systematic,33220003
Y48N2048,48,48.0,2048,0.35,0.2182,6.0,systematic,33220004
Y48N2048,48,48.0,2048,0.35,0.2182,6.0,systematic,33220005
Y48N2048,48,48.0,2048,0.35,0.2182,6.0,systematic,33220006
Y48N2048,48,48.0,2048,0.35,0.2182,6.0,systematic,33220007
Y48N2048,48,48.0,2048,0.35,0.2182,6.0,systematic,33220008
Y48N2048,48,48.0,2048,0.35,0.2182,6.0,systematic,33220009
Y48N2048,48,48.0,2048,0.35,0.2182,6.0,systematic,33220010
Y48N2048,48,48.0,2048,0.35,0.2182,6.0,systematic,33220011
Y48N2048,48,48.0,2048,0.35,0.2182,6.0,systematic,33220012
Y48N2048,48,48.0,2048,0.35,0.2182,6.0,systematic,33220013
Y48N2048,48,48.0,2048,0.35,0.2182,6.0,systematic,33220014
Y48N2048,48,48.0,2048,0.35,0.2182,6.0,systematic,33220015
Y48N2048,48,48.0,2048,0.35,0.2182,6.0,systematic,33220016
Y48N2048,48,48.0,2048,0.35,0.2182,6.0,systematic,33220017
Y48N2048,48,48.0,2048,0.35,0.2182,6.0,systematic,33220018
Y48N2048,48,48.0,2048,0.35,0.2182,6.0,systematic,33220019
Y48N2048,48,48.0,2048,0.35,0.2182,6.0,systematic,33220020
Y48N2048,48,48.0,2048,0.35,0.2182,6.0,systematic,33220021
Y48N2048,48,48.0,2048,0.35,0.2182,6.0,systematic,33220022
Y48N2048,48,48.0,2048,0.35,0.2182,6.0,systematic,33220023
Y48N2048,48,48.0,2048,0.35,0.2182,6.0,systematic,33220024
Y48N2048,48,48.0,2048,0.35,0.2182,6.0,systematic,33220025
Y48N2048,48,48.0,2048,0.35,0.2182,6.0,systematic,33220026
Y48N2048,48,48.0,2048,0.35,0.2182,6.0,systematic,33220027
Y48N2048,48,48.0,2048,0.35,0.2182,6.0,systematic,33220028
Y48N2048,48,48.0,2048,0.35,0.2182,6.0,systematic,33220029
Y48N2048,48,48.0,2048,0.35,0.2182,6.0,systematic,33220030
Y48N2048,48,48.0,2048,0.35,0.2182,6.0,systematic,33220031
Y48N2048,48,48.0,2048,0.35,0.2182,6.0,systematic,33220032
Y48N2048,48,48.0,2048,0.35,0.2182,6.0,systematic,33220033
Y48N2048,48,48.0,2048,0.35,0.2182,6.0,systematic,33220034
Y48N2048,48,48.0,2048,0.35,0.2182,6.0,systematic,33220035
Y48N2048,48,48.0,2048,0.35,0.2182,6.0,systematic,33220036
Y48N2048,48,48.0,2048,0.35,0.2182,6.0,systematic,33220037
Y48N2048,48,48.0,2048,0.35,0.2182,6.0,systematic,33220038
Y48N2048,48,48.0,2048,0.35,0.2182,6.0,systematic,33220039
Y48N2048,48,48.0,2048,0.35,0.2182,6.0,systematic,33220040
Y48N2048,48,48.0,2048,0.35,0.2182,6.0,systematic,33220041
Y48N2048,48,48.0,2048,0.35,0.2182,6.0,systematic,33220042
Y48N2048,48,48.0,2048,0.35,0.2182,6.0,systematic,33220043
Y48N2048,48,48.0,2048,0.35,0.2182,6.0,systematic,33220044
Y48N2048,48,48.0,2048,0.35,0.2182,6.0,systematic,33220045
Y48N2048,48,48.0,2048,0.35,0.2182,6.0,systematic,33220046
Y48N2048,48,48.0,2048,0.35,0.2182,6.0,systematic,33220047
Y48N2048,48,48.0,2048,0.35,0.2232,6.0,systematic,33221000
Y48N2048,48,48.0,2048,0.35,0.2232,6.0,systematic,33221001
Y48N2048,48,48.0,2048,0.35,0.2232,6.0,systematic,33221002
Y48N2048,48,48.0,2048,0.35,0.2232,6.0,systematic,33221003
Y48N2048,48,48.0,2048,0.35,0.2232,6.0,systematic,33221004
Y48N2048,48,48.0,2048,0.35,0.2232,6.0,systematic,33221005
Y48N2048,48,48.0,2048,0.35,0.2232,6.0,systematic,33221006
Y48N2048,48,48.0,2048,0.35,0.2232,6.0,systematic,33221007
Y48N2048,48,48.0,2048,0.35,0.2232,6.0,systematic,33221008
Y48N2048,48,48.0,2048,0.35,0.2232,6.0,systematic,33221009
Y48N2048,48,48.0,2048,0.35,0.2232,6.0,systematic,33221010
Y48N2048,48,48.0,2048,0.35,0.2232,6.0,systematic,33221011
Y48N2048,48,48.0,2048,0.35,0.2232,6.0,systematic,33221012
Y48N2048,48,48.0,2048,0.35,0.2232,6.0,systematic,33221013
Y48N2048,48,48.0,2048,0.35,0.2232,6.0,systematic,33221014
Y48N2048,48,48.0,2048,0.35,0.2232,6.0,systematic,33221015
Y48N2048,48,48.0,2048,0.35,0.2232,6.0,systematic,33221016
Y48N2048,48,48.0,2048,0.35,0.2232,6.0,systematic,33221017
Y48N2048,48,48.0,2048,0.35,0.2232,6.0,systematic,33221018
Y48N2048,48,48.0,2048,0.35,0.2232,6.0,systematic,33221019
Y48N2048,48,48.0,2048,0.35,0.2232,6.0,systematic,33221020
Y48N2048,48,48.0,2048,0.35,0.2232,6.0,systematic,33221021
Y48N2048,48,48.0,2048,0.35,0.2232,6.0,systematic,33221022
Y48N2048,48,48.0,2048,0.35,0.2232,6.0,systematic,33221023
Y48N2048,48,48.0,2048,0.35,0.2232,6.0,systematic,33221024
Y48N2048,48,48.0,2048,0.35,0.2232,6.0,systematic,33221025
Y48N2048,48,48.0,2048,0.35,0.2232,6.0,systematic,33221026
Y48N2048,48,48.0,2048,0.35,0.2232,6.0,systematic,33221027
Y48N2048,48,48.0,2048,0.35,0.2232,6.0,systematic,33221028
Y48N2048,48,48.0,2048,0.35,0.2232,6.0,systematic,33221029
Y48N2048,48,48.0,2048,0.35,0.2232,6.0,systematic,33221030
Y48N2048,48,48.0,2048,0.35,0.2232,6.0,systematic,33221031
Y48N2048,48,48.0,2048,0.35,0.2232,6.0,systematic,33221032
Y48N2048,48,48.0,2048,0.35,0.2232,6.0,systematic,33221033
Y48N2048,48,48.0,2048,0.35,0.2232,6.0,systematic,33221034
Y48N2048,48,48.0,2048,0.35,0.2232,6.0,systematic,33221035
Y48N2048,48,48.0,2048,0.35,0.2232,6.0,systematic,33221036
Y48N2048,48,48.0,2048,0.35,0.2232,6.0,systematic,33221037
Y48N2048,48,48.0,2048,0.35,0.2232,6.0,systematic,33221038
Y48N2048,48,48.0,2048,0.35,0.2232,6.0,systematic,33221039
Y48N2048,48,48.0,2048,0.35,0.2232,6.0,systematic,33221040
Y48N2048,48,48.0,2048,0.35,0.2232,6.0,systematic,33221041
Y48N2048,48,48.0,2048,0.35,0.2232,6.0,systematic,33221042
Y48N2048,48,48.0,2048,0.35,0.2232,6.0,systematic,33221043
Y48N2048,48,48.0,2048,0.35,0.2232,6.0,systematic,33221044
Y48N2048,48,48.0,2048,0.35,0.2232,6.0,systematic,33221045
Y48N2048,48,48.0,2048,0.35,0.2232,6.0,systematic,33221046
Y48N2048,48,48.0,2048,0.35,0.2232,6.0,systematic,33221047
Y48N2048,48,48.0,2048,0.35,0.2282,6.0,systematic,33222000
Y48N2048,48,48.0,2048,0.35,0.2282,6.0,systematic,33222001
Y48N2048,48,48.0,2048,0.35,0.2282,6.0,systematic,33222002
Y48N2048,48,48.0,2048,0.35,0.2282,6.0,systematic,33222003
Y48N2048,48,48.0,2048,0.35,0.2282,6.0,systematic,33222004
Y48N2048,48,48.0,2048,0.35,0.2282,6.0,systematic,33222005
Y48N2048,48,48.0,2048,0.35,0.2282,6.0,systematic,33222006
Y48N2048,48,48.0,2048,0.35,0.2282,6.0,systematic,33222007
Y48N2048,48,48.0,2048,0.35,0.2282,6.0,systematic,33222008
Y48N2048,48,48.0,2048,0.35,0.2282,6.0,systematic,33222009
Y48N2048,48,48.0,2048,0.35,0.2282,6.0,systematic,33222010
Y48N2048,48,48.0,2048,0.35,0.2282,6.0,systematic,33222011
Y48N2048,48,48.0,2048,0.35,0.2282,6.0,systematic,33222012
Y48N2048,48,48.0,2048,0.35,0.2282,6.0,systematic,33222013
Y48N2048,48,48.0,2048,0.35,0.2282,6.0,systematic,33222014
Y48N2048,48,48.0,2048,0.35,0.2282,6.0,systematic,33222015
Y48N2048,48,48.0,2048,0.35,0.2282,6.0,systematic,33222016
Y48N2048,48,48.0,2048,0.35,0.2282,6.0,systematic,33222017
Y48N2048,48,48.0,2048,0.35,0.2282,6.0,systematic,33222018
Y48N2048,48,48.0,2048,0.35,0.2282,6.0,systematic,33222019
Y48N2048,48,48.0,2048,0.35,0.2282,6.0,systematic,33222020
Y48N2048,48,48.0,2048,0.35,0.2282,6.0,systematic,33222021
Y48N2048,48,48.0,2048,0.35,0.2282,6.0,systematic,33222022
Y48N2048,48,48.0,2048,0.35,0.2282,6.0,systematic,33222023
Y48N2048,48,48.0,2048,0.35,0.2282,6.0,systematic,33222024
Y48N2048,48,48.0,2048,0.35,0.2282,6.0,systematic,33222025
Y48N2048,48,48.0,2048,0.35,0.2282,6.0,systematic,33222026
Y48N2048,48,48.0,2048,0.35,0.2282,6.0,systematic,33222027
Y48N2048,48,48.0,2048,0.35,0.2282,6.0,systematic,33222028
Y48N2048,48,48.0,2048,0.35,0.2282,6.0,systematic,33222029
Y48N2048,48,48.0,2048,0.35,0.2282,6.0,systematic,33222030
Y48N2048,48,48.0,2048,0.35,0.2282,6.0,systematic,33222031
