arm,L,T,N_c,zeta,lam,dtau_mult,resample_scheme,seed
B512,64,64.0,512,0.35,0.2182,6.0,systematic,33060000
B512,64,64.0,512,0.35,0.2182,6.0,systematic,33060001
B512,64,64.0,512,0.35,0.2182,6.0,systematic,33060002
B512,64,64.0,512,0.35,0.2182,6.0,systematic,33060003
B512,64,64.0,512,0.35,0.2182,6.0,systematic,33060004
B512,64,64.0,512,0.35,0.2182,6.0,systematic,33060005
B512,64,64.0,512,0.35,0.2182,6.0,systematic,33060006
B512,64,64.0,512,0.35,0.2182,6.0,systematic,33060007
B512,64,64.0,512,0.35,0.2182,6.0,systematic,33060008
B512,64,64.0,512,0.35,0.2182,6.0,systematic,33060009
B512,64,64.0,512,0.35,0.2182,6.0,systematic,33060010
B512,64,64.0,512,0.35,0.2182,6.0,systematic,33060011
B512,64,64.0,512,0.35,0.2182,6.0,systematic,33060012
B512,64,64.0,512,0.35,0.2182,6.0,systematic,33060013
B512,64,64.0,512,0.35,0.2182,6.0,systematic,33060014
B512,64,64.0,512,0.35,0.2182,6.0,systematic,33060015
B512,64,64.0,512,0.35,0.2182,6.0,systematic,33060016
B512,64,64.0,512,0.35,0.2182,6.0,systematic,33060017
B512,64,64.0,512,0.35,0.2182,6.0,systematic,33060018
B512,64,64.0,512,0.35,0.2182,6.0,systematic,33060019
B512,64,64.0,512,0.35,0.2182,6.0,systematic,33060020
B512,64,64.0,512,0.35,0.2182,6.0,systematic,33060021
B512,64,64.0,512,0.35,0.2182,6.0,systematic,33060022
B512,64,64.0,512,0.35,0.2182,6.0,systematic,33060023
B512,64,64.0,512,0.35,0.2182,6.0,systematic,33060024
B512,64,64.0,512,0.35,0.2182,6.0,systematic,33060025
B512,64,64.0,512,0.35,0.2182,6.0,systematic,33060026
B512,64,64.0,512,0.35,0.2182,6.0,systematic,33060027
B512,64,64.0,512,0.35,0.2182,6.0,systematic,33060028
B512,64,64.0,512,0.35,0.2182,6.0,systematic,33060029
B512,64,64.0,512,0.35,0.2182,6.0,systematic,33060030
B512,64,64.0,512,0.35,0.2182,6.0,systematic,33060031
B512,64,64.0,512,0.35,0.2182,6.0,systematic,33060032
B512,64,64.0,512,0.35,0.2182,6.0,systematic,33060033
B512,64,64.0,512,0.35,0.2182,6.0,systematic,33060034
B512,64,64.0,512,0.35,0.2182,6.0,systematic,33060035
B512,64,64.0,512,0.35,0.2182,6.0,systematic,33060036
B512,64,64.0,512,0.35,0.2182,6.0,systematic,33060037
B512,64,64.0,512,0.35,0.2182,6.0,systematic,33060038
B512,64,64.0,512,0.35,0.2182,6.0,systematic,33060039
B512,64,64.0,512,0.35,0.2182,6.0,systematic,33060040
B512,64,64.0,512,0.35,0.2182,6.0,systematic,33060041
B512,64,64.0,512,0.35,0.2182,6.0,systematic,33060042
B512,64,64.0,512,0.35,0.2182,6.0,systematic,33060043
B512,64,64.0,512,0.35,0.2182,6.0,systematic,33060044
B512,64,64.0,512,0.35,0.2182,6.0,systematic,33060045
B512,64,64.0,512,0.35,0.2182,6.0,systematic,33060046
B512,64,64.0,512,0.35,0.2182,6.0,systematic,33060047
B512,64,64.0,512,0.35,0.2232,6.0,systematic,33061000
B512,64,64.0,512,0.35,0.2232,6.0,systematic,33061001
B512,64,64.0,512,0.35,0.2232,6.0,systematic,33061002
B512,64,64.0,512,0.35,0.2232,6.0,systematic,33061003
B512,64,64.0,512,0.35,0.2232,6.0,systematic,33061004
B512,64,64.0,512,0.35,0.2232,6.0,systematic,33061005
B512,64,64.0,512,0.35,0.2232,6.0,systematic,33061006
B512,64,64.0,512,0.35,0.2232,6.0,systematic,33061007
B512,64,64.0,512,0.35,0.2232,6.0,systematic,33061008
B512,64,64.0,512,0.35,0.2232,6.0,systematic,33061009
B512,64,64.0,512,0.35,0.2232,6.0,systematic,33061010
B512,64,64.0,512,0.35,0.2232,6.0,systematic,33061011
B512,64,64.0,512,0.35,0.2232,6.0,systematic,33061012
B512,64,64.0,512,0.35,0.2232,6.0,systematic,33061013
B512,64,64.0,512,0.35,0.2232,6.0,systematic,33061014
B512,64,64.0,512,0.35,0.2232,6.0,systematic,33061015
B512,64,64.0,512,0.35,0.2232,6.0,systematic,33061016
B512,64,64.0,512,0.35,0.2232,6.0,systematic,33061017
B512,64,64.0,512,0.35,0.2232,6.0,systematic,33061018
B512,64,64.0,512,0.35,0.2232,6.0,systematic,33061019
B512,64,64.0,512,0.35,0.2232,6.0,systematic,33061020
B512,64,64.0,512,0.35,0.2232,6.0,systematic,33061021
B512,64,64.0,512,0.35,0.2232,6.0,systematic,33061022
B512,64,64.0,512,0.35,0.2232,6.0,systematic,33061023
B512,64,64.0,512,0.35,0.2232,6.0,systematic,33061024
B512,64,64.0,512,0.35,0.2232,6.0,systematic,33061025
B512,64,64.0,512,0.35,0.2232,6.0,systematic,33061026
B512,64,64.0,512,0.35,0.2232,6.0,systematic,33061027
B512,64,64.0,512,0.35,0.2232,6.0,systematic,33061028
B512,64,64.0,512,0.35,0.2232,6.0,systematic,33061029
B512,64,64.0,512,0.35,0.2232,6.0,systematic,33061030
B512,64,64.0,512,0.35,0.2232,6.0,systematic,33061031
B512,64,64.0,512,0.35,0.2232,6.0,systematic,33061032
B512,64,64.0,512,0.35,0.2232,6.0,systematic,33061033
B512,64,64.0,512,0.35,0.2232,6.0,systematic,33061034
B512,64,64.0,512,0.35,0.2232,6.0,systematic,33061035
B512,64,64.0,512,0.35,0.2232,6.0,systematic,33061036
B512,64,64.0,512,0.35,0.2232,6.0,systematic,33061037
B512,64,64.0,512,0.35,0.2232,6.0,systematic,33061038
B512,64,64.0,512,0.35,0.2232,6.0,systematic,33061039
B512,64,64.0,512,0.35,0.2232,6.0,systematic,33061040
B512,64,64.0,512,0.35,0.2232,6.0,systematic,33061041
B512,64,64.0,512,0.35,0.2232,6.0,systematic,33061042
B512,64,64.0,512,0.35,0.2232,6.0,systematic,33061043
B512,64,64.0,512,0.35,0.2232,6.0,systematic,33061044
B512,64,64.0,512,0.35,0.2232,6.0,systematic,33061045
B512,64,64.0,512,0.35,0.2232,6.0,systematic,33061046
B512,64,64.0,512,0.35,0.2232,6.0,systematic,33061047
B512,64,64.0,512,0.35,0.2282,6.0,systematic,33062000
B512,64,64.0,512,0.35,0.2282,6.0,systematic,33062001
B512,64,64.0,512,0.35,0.2282,6.0,systematic,33062002
B512,64,64.0,512,0.35,0.2282,6.0,systematic,33062003
B512,64,64.0,512,0.35,0.2282,6.0,systematic,33062004
B512,64,64.0,512,0.35,0.2282,6.0,systematic,33062005
B512,64,64.0,512,0.35,0.2282,6.0,systematic,33062006
B512,64,64.0,512,0.35,0.2282,6.0,systematic,33062007
B512,64,64.0,512,0.35,0.2282,6.0,systematic,33062008
B512,64,64.0,512,0.35,0.2282,6.0,systematic,33062009
B512,64,64.0,512,0.35,0.2282,6.0,systematic,33062010
B512,64,64.0,512,0.35,0.2282,6.0,systematic,33062011
B512,64,64.0,512,0.35,0.2282,6.0,systematic,33062012
B512,64,64.0,512,0.35,0.2282,6.0,systematic,33062013
B512,64,64.0,512,0.35,0.2282,6.0,systematic,33062014
B512,64,64.0,512,0.35,0.2282,6.0,systematic,33062015
B512,64,64.0,512,0.35,0.2282,6.0,systematic,33062016
B512,64,64.0,512,0.35,0.2282,6.0,systematic,33062017
B512,64,64.0,512,0.35,0.2282,6.0,systematic,33062018
B512,64,64.0,512,0.35,0.2282,6.0,systematic,33062019
B512,64,64.0,512,0.35,0.2282,6.0,systematic,33062020
B512,64,64.0,512,0.35,0.2282,6.0,systematic,33062021
B512,64,64.0,512,0.35,0.2282,6.0,systematic,33062022
B512,64,64.0,512,0.35,0.2282,6.0,systematic,33062023
B512,64,64.0,512,0.35,0.2282,6.0,systematic,33062024
B512,64,64.0,512,0.35,0.2282,6.0,systematic,33062025
B512,64,64.0,512,0.35,0.2282,6.0,systematic,33062026
B512,64,64.0,512,0.35,0.2282,6.0,systematic,33062027
B512,64,64.0,512,0.35,0.2282,6.0,systematic,33062028
B512,64,64.0,512,0.35,0.2282,6.0,systematic,33062029
B512,64,64.0,512,0.35,0.2282,6.0,systematic,33062030
B512,64,64.0,512,0.35,0.2282,6.0,systematic,33062031
B512,64,64.0,512,0.35,0.2282,6.0,systematic,33062032
B512,64,64.0,512,0.35,0.2282,6.0,systematic,33062033
B512,64,64.0,512,0.35,0.2282,6.0,systematic,33062034
B512,64,64.0,512,0.35,0.2282,6.0,systematic,33062035
B512,64,64.0,512,0.35,0.2282,6.0,systematic,33062036
B512,64,64.0,512,0.35,0.2282,6.0,systematic,33062037
B512,64,64.0,512,0.35,0.2282,6.0,systematic,33062038
B512,64,64.0,512,0.35,0.2282,6.0,systematic,33062039
B512,64,64.0,512,0.35,0.2282,6.0,systematic,33062040
B512,64,64.0,512,0.35,0.2282,6.0,systematic,33062041
B512,64,64.0,512,0.35,0.2282,6.0,systematic,33062042
B512,64,64.0,512,0.35,0.2282,6.0,systematic,33062043
B512,64,64.0,512,0.35,0.2282,6.0,systematic,33062044
B512,64,64.0,512,0.35,0.2282,6.0,systematic,33062045
B512,64,64.0,512,0.35,0.2282,6.0,systematic,33062046
B512,64,64.0,512,0.35,0.2282,6.0,systematic,33062047
B512,64,64.0,512,0.35,0.2332,6.0,systematic,33063000
B512,64,64.0,512,0.35,0.2332,6.0,systematic,33063001
B512,64,64.0,512,0.35,0.2332,6.0,systematic,33063002
B512,64,64.0,512,0.35,0.2332,6.0,systematic,33063003
B512,64,64.0,512,0.35,0.2332,6.0,systematic,33063004
B512,64,64.0,512,0.35,0.2332,6.0,systematic,33063005
B512,64,64.0,512,0.35,0.2332,6.0,systematic,33063006
B512,64,64.0,512,0.35,0.2332,6.0,systematic,33063007
B512,64,64.0,512,0.35,0.2332,6.0,systematic,33063008
B512,64,64.0,512,0.35,0.2332,6.0,systematic,33063009
B512,64,64.0,512,0.35,0.2332,6.0,systematic,33063010
B512,64,64.0,512,0.35,0.2332,6.0,systematic,33063011
B512,64,64.0,512,0.35,0.2332,6.0,systematic,33063012
B512,64,64.0,512,0.35,0.2332,6.0,systematic,33063013
B512,64,64.0,512,0.35,0.2332,6.0,systematic,33063014
B512,64,64.0,512,0.35,0.2332,6.0,systematic,33063015
B512,64,64.0,512,0.35,0.2332,6.0,systematic,33063016
B512,64,64.0,512,0.35,0.2332,6.0,systematic,33063017
B512,64,64.0,512,0.35,0.2332,6.0,systematic,33063018
B512,64,64.0,512,0.35,0.2332,6.0,systematic,33063019
B512,64,64.0,512,0.35,0.2332,6.0,systematic,33063020
B512,64,64.0,512,0.35,0.2332,6.0,systematic,33063021
B512,64,64.0,512,0.35,0.2332,6.0,systematic,33063022
B512,64,64.0,512,0.35,0.2332,6.0,systematic,33063023
B512,64,64.0,512,0.35,0.2332,6.0,systematic,33063024
B512,64,64.0,512,0.35,0.2332,6.0,systematic,33063025
B512,64,64.0,512,0.35,0.2332,6.0,systematic,33063026
B512,64,64.0,512,0.35,0.2332,6.0,systematic,33063027
B512,64,64.0,512,0.35,0.2332,6.0,systematic,33063028
B512,64,64.0,512,0.35,0.2332,6.0,systematic,33063029
B512,64,64.0,512,0.35,0.2332,6.0,systematic,33063030
B512,64,64.0,512,0.35,0.2332,6.0,systematic,33063031
B512,64,64.0,512,0.35,0.2332,6.0,systematic,33063032
B512,64,64.0,512,0.35,0.2332,6.0,systematic,33063033
B512,64,64.0,512,0.35,0.2332,6.0,systematic,33063034
B512,64,64.0,512,0.35,0.2332,6.0,systematic,33063035
B512,64,64.0,512,0.35,0.2332,6.0,systematic,33063036
B512,64,64.0,512,0.35,0.2332,6.0,systematic,33063037
B512,64,64.0,512,0.35,0.2332,6.0,systematic,33063038
B512,64,64.0,512,0.35,0.2332,6.0,systematic,33063039
B512,64,64.0,512,0.35,0.2332,6.0,systematic,33063040
B512,64,64.0,512,0.35,0.2332,6.0,systematic,33063041
B512,64,64.0,512,0.35,0.2332,6.0,systematic,33063042
B512,64,64.0,512,0.35,0.2332,6.0,systematic,33063043
B512,64,64.0,512,0.35,0.2332,6.0,systematic,33063044
B512,64,64.0,512,0.35,0.2332,6.0,systematic,33063045
B512,64,64.0,512,0.35,0.2332,6.0,systematic,33063046
B512,64,64.0,512,0.35,0.2332,6.0,systematic,33063047
B512,64,64.0,512,0.35,0.2382,6.0,systematic,33064000
B512,64,64.0,512,0.35,0.2382,6.0,systematic,33064001
B512,64,64.0,512,0.35,0.2382,6.0,systematic,33064002
B512,64,64.0,512,0.35,0.2382,6.0,systematic,33064003
B512,64,64.0,512,0.35,0.2382,6.0,systematic,33064004
B512,64,64.0,512,0.35,0.2382,6.0,systematic,33064005
B512,64,64.0,512,0.35,0.2382,6.0,systematic,33064006
B512,64,64.0,512,0.35,0.2382,6.0,systematic,33064007
B512,64,64.0,512,0.35,0.2382,6.0,systematic,33064008
B512,64,64.0,512,0.35,0.2382,6.0,systematic,33064009
B512,64,64.0,512,0.35,0.2382,6.0,systematic,33064010
B512,64,64.0,512,0.35,0.2382,6.0,systematic,33064011
B512,64,64.0,512,0.35,0.2382,6.0,systematic,33064012
B512,64,64.0,512,0.35,0.2382,6.0,systematic,33064013
B512,64,64.0,512,0.35,0.2382,6.0,systematic,33064014
B512,64,64.0,512,0.35,0.2382,6.0,systematic,33064015
B512,64,64.0,512,0.35,0.2382,6.0,systematic,33064016
B512,64,64.0,512,0.35,0.2382,6.0,systematic,33064017
B512,64,64.0,512,0.35,0.2382,6.0,systematic,33064018
B512,64,64.0,512,0.35,0.2382,6.0,systematic,33064019
B512,64,64.0,512,0.35,0.2382,6.0,systematic,33064020
B512,64,64.0,512,0.35,0.2382,6.0,systematic,33064021
B512,64,64.0,512,0.35,0.2382,6.0,systematic,33064022
B512,64,64.0,512,0.35,0.2382,6.0,systematic,33064023
B512,64,64.0,512,0.35,0.2382,6.0,systematic,33064024
B512,64,64.0,512,0.35,0.2382,6.0,systematic,33064025
B512,64,64.0,512,0.35,0.2382,6.0,systematic,33064026
B512,64,64.0,512,0.35,0.2382,6.0,systematic,33064027
B512,64,64.0,512,0.35,0.2382,6.0,systematic,33064028
B512,64,64.0,512,0.35,0.2382,6.0,systematic,33064029
B512,64,64.0,512,0.35,0.2382,6.0,systematic,33064030
B512,64,64.0,512,0.35,0.2382,6.0,systematic,33064031
B512,64,64.0,512,0.35,0.2382,6.0,systematic,33064032
B512,64,64.0,512,0.35,0.2382,6.0,systematic,33064033
B512,64,64.0,512,0.35,0.2382,6.0,systematic,33064034
B512,64,64.0,512,0.35,0.2382,6.0,systematic,33064035
B512,64,64.0,512,0.35,0.2382,6.0,systematic,33064036
B512,64,64.0,512,0.35,0.2382,6.0,systematic,33064037
B512,64,64.0,512,0.35,0.2382,6.0,systematic,33064038
B512,64,64.0,512,0.35,0.2382,6.0,systematic,33064039
B512,64,64.0,512,0.35,0.2382,6.0,systematic,33064040
B512,64,64.0,512,0.35,0.2382,6.0,systematic,33064041
B512,64,64.0,512,0.35,0.2382,6.0,systematic,33064042
