arm,L,T,N_c,zeta,lam,dtau_mult,resample_scheme,seed
C2048,96,96.0,2048,0.35,0.3032,6.0,systematic,33260000
C2048,96,96.0,2048,0.35,0.3032,6.0,systematic,33260001
C2048,96,96.0,2048,0.35,0.3032,6.0,systematic,33260002
C2048,96,96.0,2048,0.35,0.3032,6.0,systematic,33260003
C2048,96,96.0,2048,0.35,0.3032,6.0,systematic,33260004
C2048,96,96.0,2048,0.35,0.3032,6.0,systematic,33260005
C2048,96,96.0,2048,0.35,0.3032,6.0,systematic,33260006
C2048,96,96.0,2048,0.35,0.3032,6.0,systematic,33260007
C2048,96,96.0,2048,0.35,0.3032,6.0,systematic,33260008
C2048,96,96.0,2048,0.35,0.3032,6.0,systematic,33260009
C2048,96,96.0,2048,0.35,0.3032,6.0,systematic,33260010
C2048,96,96.0,2048,0.35,0.3032,6.0,systematic,33260011
C2048,96,96.0,2048,0.35,0.3032,6.0,systematic,33260012
C2048,96,96.0,2048,0.35,0.3032,6.0,systematic,33260013
C2048,96,96.0,2048,0.35,0.3032,6.0,systematic,33260014
C2048,96,96.0,2048,0.35,0.3032,6.0,systematic,33260015
C2048,96,96.0,2048,0.35,0.3032,6.0,systematic,33260016
C2048,96,96.0,2048,0.35,0.3032,6.0,systematic,33260017
C2048,96,96.0,2048,0.35,0.3032,6.0,systematic,33260018
C2048,96,96.0,2048,0.35,0.3032,6.0,systematic,33260019
C2048,96,96.0,2048,0.35,0.3032,6.0,systematic,33260020
C2048,96,96.0,2048,0.35,0.3032,6.0,systematic,33260021
C2048,96,96.0,2048,0.35,0.3032,6.0,systematic,33260022
C2048,96,96.0,2048,0.35,0.3032,6.0,systematic,33260023
