arm,L,T,N_c,zeta,lam,dtau_mult,resample_scheme,seed
D2048,128,128.0,2048,0.35,0.3032,6.0,systematic,33280000
D2048,128,128.0,2048,0.35,0.3032,6.0,systematic,33280001
D2048,128,128.0,2048,0.35,0.3032,6.0,systematic,33280002
D2048,128,128.0,2048,0.35,0.3032,6.0,systematic,33280003
D2048,128,128.0,2048,0.35,0.3032,6.0,systematic,33280004
D2048,128,128.0,2048,0.35,0.3032,6.0,systematic,33280005
D2048,128,128.0,2048,0.35,0.3032,6.0,systematic,33280006
D2048,128,128.0,2048,0.35,0.3032,6.0,systematic,33280007
D2048,128,128.0,2048,0.35,0.3032,6.0,systematic,33280008
D2048,128,128.0,2048,0.35,0.3032,6.0,systematic,33280009
D2048,128,128.0,2048,0.35,0.3032,6.0,systematic,33280010
D2048,128,128.0,2048,0.35,0.3032,6.0,systematic,33280011
D2048,128,128.0,2048,0.35,0.3032,6.0,systematic,33280012
D2048,128,128.0,2048,0.35,0.3032,6.0,systematic,33280013
D2048,128,128.0,2048,0.35,0.3032,6.0,systematic,33280014
D2048,128,128.0,2048,0.35,0.3032,6.0,systematic,33280015
