source_task,arm,L,T,zeta,lam,N_c,R_index,dtau_mult,resample_scheme,seed,status,wall_s,n_steps,cmi_weighted_mean,cmi_unweighted_mean,gess_final,ess_cum_final,n_distinct_anc_final,brentq_fallbacks,result_path,exact_compatible
TASK-2026-09-01-SMCRUCHE-READY,arm1,96,96.0,0.35,0.3032,128,0,6.0,systematic,1168016,ok,1210.86,922,0.39150251170142114,0.39150251170142114,1.0,126.88228515147851,1,0,research/tasks/active/TASK-2026-09-01-SMCRUCHE-READY/arm1/results/ARM1_00000.json,yes
TASK-2026-09-01-SMCRUCHE-READY,arm1,96,96.0,0.35,0.3032,128,1,6.0,systematic,1168017,ok,1373.43,922,0.3600924973750028,0.3600924973750028,1.0,126.95911385697043,1,0,research/tasks/active/TASK-2026-09-01-SMCRUCHE-READY/arm1/results/ARM1_00001.json,yes
TASK-2026-09-01-SMCRUCHE-READY,arm1,96,96.0,0.35,0.3032,128,2,6.0,systematic,1168018,ok,1375.01,922,0.4516711516737355,0.4516711516737355,1.0,127.25380522353372,1,0,research/tasks/active/TASK-2026-09-01-SMCRUCHE-READY/arm1/results/ARM1_00002.json,yes
TASK-2026-09-01-SMCRUCHE-READY,arm1,96,96.0,0.35,0.3032,128,3,6.0,systematic,1168019,ok,1379.92,922,0.5864394122506498,0.5864394122506498,1.0,127.27623956900041,1,0,research/tasks/active/TASK-2026-09-01-SMCRUCHE-READY/arm1/results/ARM1_00003.json,yes
TASK-2026-09-01-SMCRUCHE-READY,arm1,96,96.0,0.35,0.3032,128,4,6.0,systematic,1168020,ok,1382.89,922,0.5371981731646471,0.5371981731646471,1.0,127.02721839703763,1,0,research/tasks/active/TASK-2026-09-01-SMCRUCHE-READY/arm1/results/ARM1_00004.json,yes
TASK-2026-09-01-SMCRUCHE-READY,arm1,96,96.0,0.35,0.3032,128,5,6.0,systematic,1168021,ok,1372.63,922,0.18365233596474145,0.18365233596474145,1.0,127.24258971289923,1,0,research/tasks/active/TASK-2026-09-01-SMCRUCHE-READY/arm1/results/ARM1_00005.json,yes
TASK-2026-09-01-SMCRUCHE-READY,arm1,96,96.0,0.35,0.3032,128,6,6.0,systematic,1168022,ok,1351.63,922,0.44041800328154057,0.44041800328154057,1.0,127.17056434985363,1,0,research/tasks/active/TASK-2026-09-01-SMCRUCHE-READY/arm1/results/ARM1_00006.json,yes
TASK-2026-09-01-SMCRUCHE-READY,arm1,96,96.0,0.35,0.3032,128,7,6.0,systematic,1168023,ok,1351.28,922,0.3563284839004946,0.3563284839004946,1.0,126.98350528580826,1,0,research/tasks/active/TASK-2026-09-01-SMCRUCHE-READY/arm1/results/ARM1_00007.json,yes
TASK-2026-09-01-SMCRUCHE-READY,arm1,96,96.0,0.35,0.3032,128,8,6.0,systematic,1168024,ok,1354.6,922,0.6052105392354037,0.6052105392354037,1.0,127.21687328076096,1,0,research/tasks/active/TASK-2026-09-01-SMCRUCHE-READY/arm1/results/ARM1_00008.json,yes
TASK-2026-09-01-SMCRUCHE-READY,arm1,96,96.0,0.35,0.3032,128,9,6.0,systematic,1168025,ok,1356.55,922,0.516747936247055,0.516747936247055,1.0,127.01086399909912,1,0,research/tasks/active/TASK-2026-09-01-SMCRUCHE-READY/arm1/results/ARM1_00009.json,yes
