arm,L,T,N_c,zeta,lam,dtau_mult,resample_scheme,seed
E64,64,64.0,64,0.35,0.3032,3.0,systematic,33300000
E64,64,64.0,64,0.35,0.3032,3.0,systematic,33300001
E64,64,64.0,64,0.35,0.3032,3.0,systematic,33300002
E64,64,64.0,64,0.35,0.3032,3.0,systematic,33300003
E64,64,64.0,64,0.35,0.3032,3.0,systematic,33300004
E64,64,64.0,64,0.35,0.3032,3.0,systematic,33300005
E64,64,64.0,64,0.35,0.3032,3.0,systematic,33300006
E64,64,64.0,64,0.35,0.3032,3.0,systematic,33300007
E64,64,64.0,64,0.35,0.3032,3.0,systematic,33300008
E64,64,64.0,64,0.35,0.3032,3.0,systematic,33300009
E64,64,64.0,64,0.35,0.3032,3.0,systematic,33300010
E64,64,64.0,64,0.35,0.3032,3.0,systematic,33300011
E64,64,64.0,64,0.35,0.3032,3.0,systematic,33300012
E64,64,64.0,64,0.35,0.3032,3.0,systematic,33300013
E64,64,64.0,64,0.35,0.3032,3.0,systematic,33300014
E64,64,64.0,64,0.35,0.3032,3.0,systematic,33300015
E64,64,64.0,64,0.35,0.3032,3.0,systematic,33300016
E64,64,64.0,64,0.35,0.3032,3.0,systematic,33300017
E64,64,64.0,64,0.35,0.3032,3.0,systematic,33300018
E64,64,64.0,64,0.35,0.3032,3.0,systematic,33300019
E64,64,64.0,64,0.35,0.3032,3.0,systematic,33300020
E64,64,64.0,64,0.35,0.3032,3.0,systematic,33300021
E64,64,64.0,64,0.35,0.3032,3.0,systematic,33300022
E64,64,64.0,64,0.35,0.3032,3.0,systematic,33300023
E64,64,64.0,64,0.35,0.3032,3.0,systematic,33300024
E64,64,64.0,64,0.35,0.3032,3.0,systematic,33300025
E64,64,64.0,64,0.35,0.3032,3.0,systematic,33300026
E64,64,64.0,64,0.35,0.3032,3.0,systematic,33300027
E64,64,64.0,64,0.35,0.3032,3.0,systematic,33300028
E64,64,64.0,64,0.35,0.3032,3.0,systematic,33300029
E64,64,64.0,64,0.35,0.3032,3.0,systematic,33300030
E64,64,64.0,64,0.35,0.3032,3.0,systematic,33300031
E64,64,64.0,64,0.35,0.3032,3.0,systematic,33300032
E64,64,64.0,64,0.35,0.3032,3.0,systematic,33300033
E64,64,64.0,64,0.35,0.3032,3.0,systematic,33300034
E64,64,64.0,64,0.35,0.3032,3.0,systematic,33300035
E64,64,64.0,64,0.35,0.3032,3.0,systematic,33300036
E64,64,64.0,64,0.35,0.3032,3.0,systematic,33300037
E64,64,64.0,64,0.35,0.3032,3.0,systematic,33300038
E64,64,64.0,64,0.35,0.3032,3.0,systematic,33300039
E64,64,64.0,64,0.35,0.3032,3.0,systematic,33300040
E64,64,64.0,64,0.35,0.3032,3.0,systematic,33300041
E64,64,64.0,64,0.35,0.3032,3.0,systematic,33300042
E64,64,64.0,64,0.35,0.3032,3.0,systematic,33300043
E64,64,64.0,64,0.35,0.3032,3.0,systematic,33300044
E64,64,64.0,64,0.35,0.3032,3.0,systematic,33300045
E64,64,64.0,64,0.35,0.3032,3.0,systematic,33300046
E64,64,64.0,64,0.35,0.3032,3.0,systematic,33300047
E64,64,64.0,64,0.35,0.3032,6.0,systematic,33301000
E64,64,64.0,64,0.35,0.3032,6.0,systematic,33301001
E64,64,64.0,64,0.35,0.3032,6.0,systematic,33301002
E64,64,64.0,64,0.35,0.3032,6.0,systematic,33301003
E64,64,64.0,64,0.35,0.3032,6.0,systematic,33301004
E64,64,64.0,64,0.35,0.3032,6.0,systematic,33301005
E64,64,64.0,64,0.35,0.3032,6.0,systematic,33301006
E64,64,64.0,64,0.35,0.3032,6.0,systematic,33301007
E64,64,64.0,64,0.35,0.3032,6.0,systematic,33301008
E64,64,64.0,64,0.35,0.3032,6.0,systematic,33301009
E64,64,64.0,64,0.35,0.3032,6.0,systematic,33301010
E64,64,64.0,64,0.35,0.3032,6.0,systematic,33301011
E64,64,64.0,64,0.35,0.3032,6.0,systematic,33301012
E64,64,64.0,64,0.35,0.3032,6.0,systematic,33301013
E64,64,64.0,64,0.35,0.3032,6.0,systematic,33301014
E64,64,64.0,64,0.35,0.3032,6.0,systematic,33301015
E64,64,64.0,64,0.35,0.3032,6.0,systematic,33301016
E64,64,64.0,64,0.35,0.3032,6.0,systematic,33301017
E64,64,64.0,64,0.35,0.3032,6.0,systematic,33301018
E64,64,64.0,64,0.35,0.3032,6.0,systematic,33301019
E64,64,64.0,64,0.35,0.3032,6.0,systematic,33301020
E64,64,64.0,64,0.35,0.3032,6.0,systematic,33301021
E64,64,64.0,64,0.35,0.3032,6.0,systematic,33301022
E64,64,64.0,64,0.35,0.3032,6.0,systematic,33301023
E64,64,64.0,64,0.35,0.3032,6.0,systematic,33301024
E64,64,64.0,64,0.35,0.3032,6.0,systematic,33301025
E64,64,64.0,64,0.35,0.3032,6.0,systematic,33301026
E64,64,64.0,64,0.35,0.3032,6.0,systematic,33301027
E64,64,64.0,64,0.35,0.3032,6.0,systematic,33301028
E64,64,64.0,64,0.35,0.3032,6.0,systematic,33301029
