arm,L,T,N_c,zeta,lam,dtau_mult,resample_scheme,seed
XZ64,64,64.0,64,0.1,0.3032,6.0,systematic,33600000
XZ64,64,64.0,64,0.1,0.3032,6.0,systematic,33600001
XZ64,64,64.0,64,0.1,0.3032,6.0,systematic,33600002
XZ64,64,64.0,64,0.1,0.3032,6.0,systematic,33600003
XZ64,64,64.0,64,0.1,0.3032,6.0,systematic,33600004
XZ64,64,64.0,64,0.1,0.3032,6.0,systematic,33600005
XZ64,64,64.0,64,0.1,0.3032,6.0,systematic,33600006
XZ64,64,64.0,64,0.1,0.3032,6.0,systematic,33600007
XZ64,64,64.0,64,0.1,0.3032,6.0,systematic,33600008
XZ64,64,64.0,64,0.1,0.3032,6.0,systematic,33600009
XZ64,64,64.0,64,0.1,0.3032,6.0,systematic,33600010
XZ64,64,64.0,64,0.1,0.3032,6.0,systematic,33600011
XZ64,64,64.0,64,0.1,0.3032,6.0,systematic,33600012
XZ64,64,64.0,64,0.1,0.3032,6.0,systematic,33600013
XZ64,64,64.0,64,0.1,0.3032,6.0,systematic,33600014
XZ64,64,64.0,64,0.1,0.3032,6.0,systematic,33600015
XZ64,64,64.0,64,0.1,0.3032,6.0,systematic,33600016
XZ64,64,64.0,64,0.1,0.3032,6.0,systematic,33600017
XZ64,64,64.0,64,0.1,0.3032,6.0,systematic,33600018
XZ64,64,64.0,64,0.1,0.3032,6.0,systematic,33600019
XZ64,64,64.0,64,0.1,0.3032,6.0,systematic,33600020
XZ64,64,64.0,64,0.1,0.3032,6.0,systematic,33600021
XZ64,64,64.0,64,0.1,0.3032,6.0,systematic,33600022
XZ64,64,64.0,64,0.1,0.3032,6.0,systematic,33600023
XZ64,64,64.0,64,0.1,0.3032,6.0,systematic,33600024
XZ64,64,64.0,64,0.1,0.3032,6.0,systematic,33600025
XZ64,64,64.0,64,0.1,0.3032,6.0,systematic,33600026
XZ64,64,64.0,64,0.1,0.3032,6.0,systematic,33600027
XZ64,64,64.0,64,0.1,0.3032,6.0,systematic,33600028
XZ64,64,64.0,64,0.1,0.3032,6.0,systematic,33600029
XZ64,64,64.0,64,0.1,0.3032,6.0,systematic,33600030
XZ64,64,64.0,64,0.1,0.3032,6.0,systematic,33600031
XZ64,64,64.0,64,0.1,0.3032,6.0,systematic,33600032
XZ64,64,64.0,64,0.1,0.3032,6.0,systematic,33600033
XZ64,64,64.0,64,0.1,0.3032,6.0,systematic,33600034
XZ64,64,64.0,64,0.1,0.3032,6.0,systematic,33600035
XZ64,64,64.0,64,0.1,0.3032,6.0,systematic,33600036
XZ64,64,64.0,64,0.1,0.3032,6.0,systematic,33600037
XZ64,64,64.0,64,0.1,0.3032,6.0,systematic,33600038
XZ64,64,64.0,64,0.1,0.3032,6.0,systematic,33600039
XZ64,64,64.0,64,0.1,0.3032,6.0,systematic,33600040
XZ64,64,64.0,64,0.1,0.3032,6.0,systematic,33600041
XZ64,64,64.0,64,0.1,0.3032,6.0,systematic,33600042
XZ64,64,64.0,64,0.1,0.3032,6.0,systematic,33600043
XZ64,64,64.0,64,0.1,0.3032,6.0,systematic,33600044
XZ64,64,64.0,64,0.1,0.3032,6.0,systematic,33600045
XZ64,64,64.0,64,0.1,0.3032,6.0,systematic,33600046
XZ64,64,64.0,64,0.1,0.3032,6.0,systematic,33600047
