arm,L,T,N_c,zeta,lam,dtau_mult,resample_scheme,seed
XM128A,128,128.0,2048,0.35,0.2032,6.0,systematic,33560000
XM128A,128,128.0,2048,0.35,0.2032,6.0,systematic,33560001
XM128A,128,128.0,2048,0.35,0.2032,6.0,systematic,33560002
XM128A,128,128.0,2048,0.35,0.2032,6.0,systematic,33560003
XM128A,128,128.0,2048,0.35,0.2032,6.0,systematic,33560004
XM128A,128,128.0,2048,0.35,0.2032,6.0,systematic,33560005
XM128A,128,128.0,2048,0.35,0.2032,6.0,systematic,33560006
XM128A,128,128.0,2048,0.35,0.2032,6.0,systematic,33560007
XM128A,128,128.0,2048,0.35,0.2182,6.0,systematic,33561000
XM128A,128,128.0,2048,0.35,0.2182,6.0,systematic,33561001
XM128A,128,128.0,2048,0.35,0.2182,6.0,systematic,33561002
XM128A,128,128.0,2048,0.35,0.2182,6.0,systematic,33561003
XM128A,128,128.0,2048,0.35,0.2182,6.0,systematic,33561004
XM128A,128,128.0,2048,0.35,0.2182,6.0,systematic,33561005
XM128A,128,128.0,2048,0.35,0.2182,6.0,systematic,33561006
XM128A,128,128.0,2048,0.35,0.2182,6.0,systematic,33561007
XM128A,128,128.0,2048,0.35,0.2232,6.0,systematic,33562000
XM128A,128,128.0,2048,0.35,0.2232,6.0,systematic,33562001
XM128A,128,128.0,2048,0.35,0.2232,6.0,systematic,33562002
XM128A,128,128.0,2048,0.35,0.2232,6.0,systematic,33562003
XM128A,128,128.0,2048,0.35,0.2232,6.0,systematic,33562004
XM128A,128,128.0,2048,0.35,0.2232,6.0,systematic,33562005
XM128A,128,128.0,2048,0.35,0.2232,6.0,systematic,33562006
XM128A,128,128.0,2048,0.35,0.2232,6.0,systematic,33562007
XM128A,128,128.0,2048,0.35,0.2282,6.0,systematic,33563000
XM128A,128,128.0,2048,0.35,0.2282,6.0,systematic,33563001
XM128A,128,128.0,2048,0.35,0.2282,6.0,systematic,33563002
XM128A,128,128.0,2048,0.35,0.2282,6.0,systematic,33563003
XM128A,128,128.0,2048,0.35,0.2282,6.0,systematic,33563004
XM128A,128,128.0,2048,0.35,0.2282,6.0,systematic,33563005
XM128A,128,128.0,2048,0.35,0.2282,6.0,systematic,33563006
XM128A,128,128.0,2048,0.35,0.2282,6.0,systematic,33563007
XM128A,128,128.0,2048,0.35,0.2332,6.0,systematic,33564000
XM128A,128,128.0,2048,0.35,0.2332,6.0,systematic,33564001
XM128A,128,128.0,2048,0.35,0.2332,6.0,systematic,33564002
XM128A,128,128.0,2048,0.35,0.2332,6.0,systematic,33564003
XM128A,128,128.0,2048,0.35,0.2332,6.0,systematic,33564004
XM128A,128,128.0,2048,0.35,0.2332,6.0,systematic,33564005
XM128A,128,128.0,2048,0.35,0.2332,6.0,systematic,33564006
XM128A,128,128.0,2048,0.35,0.2332,6.0,systematic,33564007
XM128A,128,128.0,2048,0.35,0.2382,6.0,systematic,33565000
XM128A,128,128.0,2048,0.35,0.2382,6.0,systematic,33565001
XM128A,128,128.0,2048,0.35,0.2382,6.0,systematic,33565002
XM128A,128,128.0,2048,0.35,0.2382,6.0,systematic,33565003
XM128A,128,128.0,2048,0.35,0.2382,6.0,systematic,33565004
XM128A,128,128.0,2048,0.35,0.2382,6.0,systematic,33565005
XM128A,128,128.0,2048,0.35,0.2382,6.0,systematic,33565006
XM128A,128,128.0,2048,0.35,0.2382,6.0,systematic,33565007
XM128A,128,128.0,2048,0.35,0.2432,6.0,systematic,33566000
XM128A,128,128.0,2048,0.35,0.2432,6.0,systematic,33566001
XM128A,128,128.0,2048,0.35,0.2432,6.0,systematic,33566002
XM128A,128,128.0,2048,0.35,0.2432,6.0,systematic,33566003
XM128A,128,128.0,2048,0.35,0.2432,6.0,systematic,33566004
XM128A,128,128.0,2048,0.35,0.2432,6.0,systematic,33566005
XM128A,128,128.0,2048,0.35,0.2432,6.0,systematic,33566006
XM128A,128,128.0,2048,0.35,0.2432,6.0,systematic,33566007
XM128A,128,128.0,2048,0.35,0.2482,6.0,systematic,33567000
XM128A,128,128.0,2048,0.35,0.2482,6.0,systematic,33567001
XM128A,128,128.0,2048,0.35,0.2482,6.0,systematic,33567002
XM128A,128,128.0,2048,0.35,0.2482,6.0,systematic,33567003
XM128A,128,128.0,2048,0.35,0.2482,6.0,systematic,33567004
XM128A,128,128.0,2048,0.35,0.2482,6.0,systematic,33567005
XM128A,128,128.0,2048,0.35,0.2482,6.0,systematic,33567006
XM128A,128,128.0,2048,0.35,0.2482,6.0,systematic,33567007
XM128A,128,128.0,2048,0.35,0.2632,6.0,systematic,33568000
XM128A,128,128.0,2048,0.35,0.2632,6.0,systematic,33568001
XM128A,128,128.0,2048,0.35,0.2632,6.0,systematic,33568002
XM128A,128,128.0,2048,0.35,0.2632,6.0,systematic,33568003
XM128A,128,128.0,2048,0.35,0.2632,6.0,systematic,33568004
XM128A,128,128.0,2048,0.35,0.2632,6.0,systematic,33568005
XM128A,128,128.0,2048,0.35,0.2632,6.0,systematic,33568006
XM128A,128,128.0,2048,0.35,0.2632,6.0,systematic,33568007
