zeta,L,T,N_c,lam,dtau_mult,resample_scheme,n_populations,compatibility,tasks
0.05,64,128.0,350,0.114,0.0,,1,INCOMPATIBLE,TASK-2026-08-11-ALGRD
0.3,32,64.0,500,0.2793,0.0,,1,INCOMPATIBLE,TASK-2026-08-11-ARCH
0.3,64,0.0,350,0.2793,0.0,,1,INCOMPATIBLE,TASK-2026-08-11-ALGRD
0.3,64,64.0,44,0.2793,0.0,,1,INCOMPATIBLE,TASK-2026-08-11-ARCH
0.3,64,64.0,88,0.2793,0.0,,1,INCOMPATIBLE,TASK-2026-08-11-ARCH
0.3,64,64.0,175,0.2793,0.0,,1,INCOMPATIBLE,TASK-2026-08-11-ARCH
0.3,64,64.0,350,0.2793,0.0,,1,INCOMPATIBLE,TASK-2026-08-11-ARCH
0.3,64,128.0,350,0.2793,0.0,,1,INCOMPATIBLE,TASK-2026-08-11-ARCH
0.35,32,32.0,512,0.2182,6.0,systematic,48,INCOMPATIBLE,TASK-2026-09-03-NC-PLATEAU-CALIBRATION
0.35,32,32.0,512,0.2232,6.0,systematic,48,INCOMPATIBLE,TASK-2026-09-03-NC-PLATEAU-CALIBRATION
0.35,32,32.0,512,0.2282,6.0,systematic,48,INCOMPATIBLE,TASK-2026-09-03-NC-PLATEAU-CALIBRATION
0.35,32,32.0,512,0.2332,6.0,systematic,48,INCOMPATIBLE,TASK-2026-09-03-NC-PLATEAU-CALIBRATION
0.35,32,32.0,512,0.2382,6.0,systematic,48,INCOMPATIBLE,TASK-2026-09-03-NC-PLATEAU-CALIBRATION
0.35,32,32.0,512,0.2432,6.0,systematic,48,INCOMPATIBLE,TASK-2026-09-03-NC-PLATEAU-CALIBRATION
0.35,32,32.0,512,0.2482,6.0,systematic,48,INCOMPATIBLE,TASK-2026-09-03-NC-PLATEAU-CALIBRATION
0.35,32,32.0,1024,0.1932,6.0,systematic,24,INCOMPATIBLE,TASK-2026-09-03-MOCK-LOWLAMBDA-EXTENSION
