arm,L,T,N_c,zeta,lam,dtau_mult,resample_scheme,seed
E_dtau_z010,64,64.0,512,0.1,0.1,3.0,systematic,38500000
E_dtau_z010,64,64.0,512,0.1,0.1,3.0,systematic,38500001
E_dtau_z010,64,64.0,512,0.1,0.1,3.0,systematic,38500002
E_dtau_z010,64,64.0,512,0.1,0.1,3.0,systematic,38500003
E_dtau_z010,64,64.0,512,0.1,0.1,3.0,systematic,38500004
E_dtau_z010,64,64.0,512,0.1,0.1,3.0,systematic,38500005
E_dtau_z010,64,64.0,512,0.1,0.1,3.0,systematic,38500006
E_dtau_z010,64,64.0,512,0.1,0.1,3.0,systematic,38500007
E_dtau_z010,64,64.0,512,0.1,0.1,3.0,systematic,38500008
E_dtau_z010,64,64.0,512,0.1,0.1,3.0,systematic,38500009
E_dtau_z010,64,64.0,512,0.1,0.1,3.0,systematic,38500010
E_dtau_z010,64,64.0,512,0.1,0.1,3.0,systematic,38500011
E_dtau_z010,64,64.0,512,0.1,0.1,3.0,systematic,38500012
E_dtau_z010,64,64.0,512,0.1,0.1,3.0,systematic,38500013
E_dtau_z010,64,64.0,512,0.1,0.1,3.0,systematic,38500014
E_dtau_z010,64,64.0,512,0.1,0.1,3.0,systematic,38500015
E_dtau_z010,64,64.0,512,0.1,0.1,12.0,systematic,38500016
E_dtau_z010,64,64.0,512,0.1,0.1,12.0,systematic,38500017
E_dtau_z010,64,64.0,512,0.1,0.1,12.0,systematic,38500018
E_dtau_z010,64,64.0,512,0.1,0.1,12.0,systematic,38500019
E_dtau_z010,64,64.0,512,0.1,0.1,12.0,systematic,38500020
E_dtau_z010,64,64.0,512,0.1,0.1,12.0,systematic,38500021
E_dtau_z010,64,64.0,512,0.1,0.1,12.0,systematic,38500022
E_dtau_z010,64,64.0,512,0.1,0.1,12.0,systematic,38500023
E_dtau_z010,64,64.0,512,0.1,0.1,12.0,systematic,38500024
E_dtau_z010,64,64.0,512,0.1,0.1,12.0,systematic,38500025
E_dtau_z010,64,64.0,512,0.1,0.1,12.0,systematic,38500026
E_dtau_z010,64,64.0,512,0.1,0.1,12.0,systematic,38500027
E_dtau_z010,64,64.0,512,0.1,0.1,12.0,systematic,38500028
E_dtau_z010,64,64.0,512,0.1,0.1,12.0,systematic,38500029
E_dtau_z010,64,64.0,512,0.1,0.1,12.0,systematic,38500030
E_dtau_z010,64,64.0,512,0.1,0.1,12.0,systematic,38500031
