pack,start,count,est_sec
0,0,23,607.2
1,23,20,621.6
2,43,18,628.7
3,61,16,610.5
4,77,15,612.8
5,92,15,637.7
6,107,14,622.9
7,121,13,603.7
8,134,12,674.6
9,146,7,691.9
10,153,7,691.9
11,160,6,685.3
12,166,6,685.3
13,172,6,712.4
14,178,5,638.8
15,183,5,638.8
16,188,5,651.0
17,193,5,700.0
18,198,5,700.0
19,203,5,700.0
20,208,4,613.1
21,212,4,613.1
22,216,4,613.1
23,220,4,613.1
24,224,4,654.4
25,228,4,654.4
26,232,4,654.4
27,236,4,654.4
28,240,4,693.4
29,244,4,693.4
30,248,4,693.4
31,252,4,693.4
32,256,4,736.9
33,260,4,736.9
34,264,4,736.9
35,268,4,736.9
36,272,4,771.7
37,276,4,771.7
38,280,4,771.7
39,284,4,771.7
40,288,3,862.0
41,291,3,862.0
42,294,3,862.0
43,297,3,862.0
44,300,3,862.0
45,303,2,623.2
46,305,2,671.6
47,307,2,671.6
48,309,2,671.6
49,311,2,671.6
50,313,2,671.6
51,315,2,671.6
52,317,2,671.6
53,319,2,717.9
54,321,2,764.3
55,323,2,764.3
56,325,2,764.3
57,327,2,764.3
58,329,2,764.3
59,331,2,764.3
60,333,2,764.3
61,335,2,801.9
62,337,2,839.6
63,339,2,839.6
64,341,2,839.6
65,343,2,839.6
66,345,2,839.6
67,347,2,839.6
68,349,2,839.6
69,351,2,874.1
70,353,2,908.7
71,355,2,908.7
72,357,2,908.7
73,359,2,908.7
74,361,2,908.7
75,363,2,908.7
76,365,2,908.7
77,367,2,940.8
78,369,2,972.9
79,371,2,972.9
80,373,2,972.9
81,375,2,972.9
82,377,2,972.9
83,379,2,972.9
84,381,2,972.9
85,383,2,1003.0
86,385,2,1033.1
87,387,2,1033.1
88,389,2,1033.1
89,391,2,1033.1
90,393,2,1033.1
91,395,2,1033.1
92,397,2,1033.1
93,399,2,1061.5
94,401,2,1090.0
95,403,2,1090.0
96,405,2,1090.0
97,407,2,1090.0
98,409,2,1090.0
99,411,2,1090.0
100,413,2,1090.0
101,415,2,1119.7
102,417,2,1149.4
103,419,2,1149.4
104,421,2,1149.4
105,423,2,1149.4
106,425,2,1149.4
107,427,2,1149.4
108,429,2,1149.4
109,431,1,574.7
