arm,L,T,N_c,zeta,lam,dtau_mult,resample_scheme,seed
M_z010_nc512,32,32.0,512,0.1,0.04,6.0,systematic,37200000
M_z010_nc512,32,32.0,512,0.1,0.04,6.0,systematic,37200001
M_z010_nc512,32,32.0,512,0.1,0.04,6.0,systematic,37200002
M_z010_nc512,32,32.0,512,0.1,0.04,6.0,systematic,37200003
M_z010_nc512,32,32.0,512,0.1,0.04,6.0,systematic,37200004
M_z010_nc512,32,32.0,512,0.1,0.04,6.0,systematic,37200005
M_z010_nc512,32,32.0,512,0.1,0.04,6.0,systematic,37200006
M_z010_nc512,32,32.0,512,0.1,0.04,6.0,systematic,37200007
M_z010_nc512,32,32.0,512,0.1,0.04,6.0,systematic,37200008
M_z010_nc512,32,32.0,512,0.1,0.04,6.0,systematic,37200009
M_z010_nc512,32,32.0,512,0.1,0.04,6.0,systematic,37200010
M_z010_nc512,32,32.0,512,0.1,0.04,6.0,systematic,37200011
M_z010_nc512,32,32.0,512,0.1,0.04,6.0,systematic,37200012
M_z010_nc512,32,32.0,512,0.1,0.04,6.0,systematic,37200013
M_z010_nc512,32,32.0,512,0.1,0.04,6.0,systematic,37200014
M_z010_nc512,32,32.0,512,0.1,0.04,6.0,systematic,37200015
M_z010_nc512,32,32.0,512,0.1,0.055,6.0,systematic,37200016
M_z010_nc512,32,32.0,512,0.1,0.055,6.0,systematic,37200017
M_z010_nc512,32,32.0,512,0.1,0.055,6.0,systematic,37200018
M_z010_nc512,32,32.0,512,0.1,0.055,6.0,systematic,37200019
M_z010_nc512,32,32.0,512,0.1,0.055,6.0,systematic,37200020
M_z010_nc512,32,32.0,512,0.1,0.055,6.0,systematic,37200021
M_z010_nc512,32,32.0,512,0.1,0.055,6.0,systematic,37200022
M_z010_nc512,32,32.0,512,0.1,0.055,6.0,systematic,37200023
M_z010_nc512,32,32.0,512,0.1,0.055,6.0,systematic,37200024
M_z010_nc512,32,32.0,512,0.1,0.055,6.0,systematic,37200025
M_z010_nc512,32,32.0,512,0.1,0.055,6.0,systematic,37200026
M_z010_nc512,32,32.0,512,0.1,0.055,6.0,systematic,37200027
M_z010_nc512,32,32.0,512,0.1,0.055,6.0,systematic,37200028
M_z010_nc512,32,32.0,512,0.1,0.055,6.0,systematic,37200029
M_z010_nc512,32,32.0,512,0.1,0.055,6.0,systematic,37200030
M_z010_nc512,32,32.0,512,0.1,0.055,6.0,systematic,37200031
M_z010_nc512,32,32.0,512,0.1,0.07,6.0,systematic,37200032
M_z010_nc512,32,32.0,512,0.1,0.07,6.0,systematic,37200033
M_z010_nc512,32,32.0,512,0.1,0.07,6.0,systematic,37200034
M_z010_nc512,32,32.0,512,0.1,0.07,6.0,systematic,37200035
M_z010_nc512,32,32.0,512,0.1,0.07,6.0,systematic,37200036
M_z010_nc512,32,32.0,512,0.1,0.07,6.0,systematic,37200037
M_z010_nc512,32,32.0,512,0.1,0.07,6.0,systematic,37200038
M_z010_nc512,32,32.0,512,0.1,0.07,6.0,systematic,37200039
M_z010_nc512,32,32.0,512,0.1,0.07,6.0,systematic,37200040
M_z010_nc512,32,32.0,512,0.1,0.07,6.0,systematic,37200041
M_z010_nc512,32,32.0,512,0.1,0.07,6.0,systematic,37200042
M_z010_nc512,32,32.0,512,0.1,0.07,6.0,systematic,37200043
M_z010_nc512,32,32.0,512,0.1,0.07,6.0,systematic,37200044
M_z010_nc512,32,32.0,512,0.1,0.07,6.0,systematic,37200045
M_z010_nc512,32,32.0,512,0.1,0.07,6.0,systematic,37200046
M_z010_nc512,32,32.0,512,0.1,0.07,6.0,systematic,37200047
M_z010_nc512,32,32.0,512,0.1,0.085,6.0,systematic,37200048
M_z010_nc512,32,32.0,512,0.1,0.085,6.0,systematic,37200049
M_z010_nc512,32,32.0,512,0.1,0.085,6.0,systematic,37200050
M_z010_nc512,32,32.0,512,0.1,0.085,6.0,systematic,37200051
M_z010_nc512,32,32.0,512,0.1,0.085,6.0,systematic,37200052
M_z010_nc512,32,32.0,512,0.1,0.085,6.0,systematic,37200053
M_z010_nc512,32,32.0,512,0.1,0.085,6.0,systematic,37200054
M_z010_nc512,32,32.0,512,0.1,0.085,6.0,systematic,37200055
M_z010_nc512,32,32.0,512,0.1,0.085,6.0,systematic,37200056
M_z010_nc512,32,32.0,512,0.1,0.085,6.0,systematic,37200057
M_z010_nc512,32,32.0,512,0.1,0.085,6.0,systematic,37200058
M_z010_nc512,32,32.0,512,0.1,0.085,6.0,systematic,37200059
M_z010_nc512,32,32.0,512,0.1,0.085,6.0,systematic,37200060
M_z010_nc512,32,32.0,512,0.1,0.085,6.0,systematic,37200061
M_z010_nc512,32,32.0,512,0.1,0.085,6.0,systematic,37200062
M_z010_nc512,32,32.0,512,0.1,0.085,6.0,systematic,37200063
M_z010_nc512,32,32.0,512,0.1,0.1,6.0,systematic,37200064
M_z010_nc512,32,32.0,512,0.1,0.1,6.0,systematic,37200065
M_z010_nc512,32,32.0,512,0.1,0.1,6.0,systematic,37200066
M_z010_nc512,32,32.0,512,0.1,0.1,6.0,systematic,37200067
M_z010_nc512,32,32.0,512,0.1,0.1,6.0,systematic,37200068
M_z010_nc512,32,32.0,512,0.1,0.1,6.0,systematic,37200069
M_z010_nc512,32,32.0,512,0.1,0.1,6.0,systematic,37200070
M_z010_nc512,32,32.0,512,0.1,0.1,6.0,systematic,37200071
M_z010_nc512,32,32.0,512,0.1,0.1,6.0,systematic,37200072
M_z010_nc512,32,32.0,512,0.1,0.1,6.0,systematic,37200073
M_z010_nc512,32,32.0,512,0.1,0.1,6.0,systematic,37200074
M_z010_nc512,32,32.0,512,0.1,0.1,6.0,systematic,37200075
M_z010_nc512,32,32.0,512,0.1,0.1,6.0,systematic,37200076
M_z010_nc512,32,32.0,512,0.1,0.1,6.0,systematic,37200077
M_z010_nc512,32,32.0,512,0.1,0.1,6.0,systematic,37200078
M_z010_nc512,32,32.0,512,0.1,0.1,6.0,systematic,37200079
M_z010_nc512,32,32.0,512,0.1,0.115,6.0,systematic,37200080
M_z010_nc512,32,32.0,512,0.1,0.115,6.0,systematic,37200081
M_z010_nc512,32,32.0,512,0.1,0.115,6.0,systematic,37200082
M_z010_nc512,32,32.0,512,0.1,0.115,6.0,systematic,37200083
M_z010_nc512,32,32.0,512,0.1,0.115,6.0,systematic,37200084
M_z010_nc512,32,32.0,512,0.1,0.115,6.0,systematic,37200085
M_z010_nc512,32,32.0,512,0.1,0.115,6.0,systematic,37200086
M_z010_nc512,32,32.0,512,0.1,0.115,6.0,systematic,37200087
M_z010_nc512,32,32.0,512,0.1,0.115,6.0,systematic,37200088
M_z010_nc512,32,32.0,512,0.1,0.115,6.0,systematic,37200089
M_z010_nc512,32,32.0,512,0.1,0.115,6.0,systematic,37200090
M_z010_nc512,32,32.0,512,0.1,0.115,6.0,systematic,37200091
M_z010_nc512,32,32.0,512,0.1,0.115,6.0,systematic,37200092
M_z010_nc512,32,32.0,512,0.1,0.115,6.0,systematic,37200093
M_z010_nc512,32,32.0,512,0.1,0.115,6.0,systematic,37200094
M_z010_nc512,32,32.0,512,0.1,0.115,6.0,systematic,37200095
M_z010_nc512,32,32.0,512,0.1,0.13,6.0,systematic,37200096
M_z010_nc512,32,32.0,512,0.1,0.13,6.0,systematic,37200097
M_z010_nc512,32,32.0,512,0.1,0.13,6.0,systematic,37200098
M_z010_nc512,32,32.0,512,0.1,0.13,6.0,systematic,37200099
M_z010_nc512,32,32.0,512,0.1,0.13,6.0,systematic,37200100
M_z010_nc512,32,32.0,512,0.1,0.13,6.0,systematic,37200101
M_z010_nc512,32,32.0,512,0.1,0.13,6.0,systematic,37200102
M_z010_nc512,32,32.0,512,0.1,0.13,6.0,systematic,37200103
M_z010_nc512,32,32.0,512,0.1,0.13,6.0,systematic,37200104
M_z010_nc512,32,32.0,512,0.1,0.13,6.0,systematic,37200105
M_z010_nc512,32,32.0,512,0.1,0.13,6.0,systematic,37200106
