arm,L,T,N_c,zeta,lam,dtau_mult,resample_scheme,seed
M_z070_nc2048,32,32.0,2048,0.7,0.25,6.0,systematic,38400000
M_z070_nc2048,32,32.0,2048,0.7,0.25,6.0,systematic,38400001
M_z070_nc2048,32,32.0,2048,0.7,0.25,6.0,systematic,38400002
M_z070_nc2048,32,32.0,2048,0.7,0.25,6.0,systematic,38400003
M_z070_nc2048,32,32.0,2048,0.7,0.25,6.0,systematic,38400004
M_z070_nc2048,32,32.0,2048,0.7,0.25,6.0,systematic,38400005
M_z070_nc2048,32,32.0,2048,0.7,0.25,6.0,systematic,38400006
M_z070_nc2048,32,32.0,2048,0.7,0.25,6.0,systematic,38400007
M_z070_nc2048,32,32.0,2048,0.7,0.25,6.0,systematic,38400008
M_z070_nc2048,32,32.0,2048,0.7,0.25,6.0,systematic,38400009
M_z070_nc2048,32,32.0,2048,0.7,0.25,6.0,systematic,38400010
M_z070_nc2048,32,32.0,2048,0.7,0.25,6.0,systematic,38400011
M_z070_nc2048,32,32.0,2048,0.7,0.25,6.0,systematic,38400012
M_z070_nc2048,32,32.0,2048,0.7,0.25,6.0,systematic,38400013
M_z070_nc2048,32,32.0,2048,0.7,0.25,6.0,systematic,38400014
M_z070_nc2048,32,32.0,2048,0.7,0.25,6.0,systematic,38400015
M_z070_nc2048,32,32.0,2048,0.7,0.284,6.0,systematic,38400016
M_z070_nc2048,32,32.0,2048,0.7,0.284,6.0,systematic,38400017
M_z070_nc2048,32,32.0,2048,0.7,0.284,6.0,systematic,38400018
M_z070_nc2048,32,32.0,2048,0.7,0.284,6.0,systematic,38400019
M_z070_nc2048,32,32.0,2048,0.7,0.284,6.0,systematic,38400020
M_z070_nc2048,32,32.0,2048,0.7,0.284,6.0,systematic,38400021
M_z070_nc2048,32,32.0,2048,0.7,0.284,6.0,systematic,38400022
M_z070_nc2048,32,32.0,2048,0.7,0.284,6.0,systematic,38400023
M_z070_nc2048,32,32.0,2048,0.7,0.284,6.0,systematic,38400024
M_z070_nc2048,32,32.0,2048,0.7,0.284,6.0,systematic,38400025
M_z070_nc2048,32,32.0,2048,0.7,0.284,6.0,systematic,38400026
M_z070_nc2048,32,32.0,2048,0.7,0.284,6.0,systematic,38400027
M_z070_nc2048,32,32.0,2048,0.7,0.284,6.0,systematic,38400028
M_z070_nc2048,32,32.0,2048,0.7,0.284,6.0,systematic,38400029
M_z070_nc2048,32,32.0,2048,0.7,0.284,6.0,systematic,38400030
M_z070_nc2048,32,32.0,2048,0.7,0.284,6.0,systematic,38400031
M_z070_nc2048,32,32.0,2048,0.7,0.318,6.0,systematic,38400032
M_z070_nc2048,32,32.0,2048,0.7,0.318,6.0,systematic,38400033
M_z070_nc2048,32,32.0,2048,0.7,0.318,6.0,systematic,38400034
M_z070_nc2048,32,32.0,2048,0.7,0.318,6.0,systematic,38400035
M_z070_nc2048,32,32.0,2048,0.7,0.318,6.0,systematic,38400036
M_z070_nc2048,32,32.0,2048,0.7,0.318,6.0,systematic,38400037
M_z070_nc2048,32,32.0,2048,0.7,0.318,6.0,systematic,38400038
M_z070_nc2048,32,32.0,2048,0.7,0.318,6.0,systematic,38400039
M_z070_nc2048,32,32.0,2048,0.7,0.318,6.0,systematic,38400040
