pack,start,count,est_sec
0,0,1,1027.7
1,1,1,1027.7
2,2,1,1027.7
3,3,1,1027.7
4,4,1,1027.7
5,5,1,1027.7
6,6,1,1027.7
7,7,1,1027.7
8,8,1,1027.7
9,9,1,1027.7
10,10,1,1027.7
11,11,1,1027.7
12,12,1,1027.7
13,13,1,1027.7
14,14,1,1027.7
15,15,1,1027.7
16,16,1,1092.0
17,17,1,1092.0
18,18,1,1092.0
19,19,1,1092.0
20,20,1,1092.0
21,21,1,1092.0
22,22,1,1092.0
23,23,1,1092.0
24,24,1,1092.0
25,25,1,1092.0
26,26,1,1092.0
27,27,1,1092.0
28,28,1,1092.0
29,29,1,1092.0
30,30,1,1092.0
31,31,1,1092.0
32,32,1,1163.7
33,33,1,1163.7
34,34,1,1163.7
35,35,1,1163.7
36,36,1,1163.7
37,37,1,1163.7
38,38,1,1163.7
39,39,1,1163.7
40,40,1,1163.7
41,41,1,1163.7
42,42,1,1163.7
43,43,1,1163.7
44,44,1,1163.7
45,45,1,1163.7
46,46,1,1163.7
47,47,1,1163.7
48,48,1,1222.6
49,49,1,1222.6
50,50,1,1222.6
51,51,1,1222.6
52,52,1,1222.6
53,53,1,1222.6
54,54,1,1222.6
55,55,1,1222.6
56,56,1,1222.6
57,57,1,1222.6
58,58,1,1222.6
59,59,1,1222.6
60,60,1,1222.6
61,61,1,1222.6
62,62,1,1222.6
63,63,1,1222.6
64,64,1,1277.1
65,65,1,1277.1
66,66,1,1277.1
67,67,1,1277.1
68,68,1,1277.1
69,69,1,1277.1
70,70,1,1277.1
71,71,1,1277.1
72,72,1,1277.1
73,73,1,1277.1
74,74,1,1277.1
75,75,1,1277.1
76,76,1,1277.1
77,77,1,1277.1
78,78,1,1277.1
79,79,1,1277.1
80,80,1,1329.4
81,81,1,1329.4
82,82,1,1329.4
83,83,1,1329.4
84,84,1,1329.4
85,85,1,1329.4
86,86,1,1329.4
87,87,1,1329.4
88,88,1,1329.4
89,89,1,1329.4
90,90,1,1329.4
91,91,1,1329.4
92,92,1,1329.4
93,93,1,1329.4
94,94,1,1329.4
95,95,1,1329.4
96,96,1,1379.8
97,97,1,1379.8
98,98,1,1379.8
99,99,1,1379.8
100,100,1,1379.8
101,101,1,1379.8
102,102,1,1379.8
103,103,1,1379.8
104,104,1,1379.8
105,105,1,1379.8
106,106,1,1379.8
107,107,1,1379.8
108,108,1,1379.8
109,109,1,1379.8
110,110,1,1379.8
111,111,1,1379.8
112,112,1,1429.8
113,113,1,1429.8
114,114,1,1429.8
115,115,1,1429.8
116,116,1,1429.8
117,117,1,1429.8
118,118,1,1429.8
119,119,1,1429.8
120,120,1,1429.8
121,121,1,1429.8
122,122,1,1429.8
123,123,1,1429.8
124,124,1,1429.8
125,125,1,1429.8
126,126,1,1429.8
127,127,1,1429.8
128,128,1,1476.7
129,129,1,1476.7
130,130,1,1476.7
131,131,1,1476.7
