L,zeta,lambda,nreal,CMI,CMI_se,B_L,B_L_se
64,0.05,0.0671,12,1.1285273962632163,0.004740304871798937,3.0243145542331042,0.027088691649452726
64,0.05,0.0839,12,1.0198895104695798,0.008194352709290427,2.490548926652885,0.0320363329806732
64,0.05,0.1006,12,0.8294032461867702,0.009708592669011048,1.864460447322964,0.03450418567141575
64,0.05,0.1174,12,0.5709345566983859,0.005815431026677597,1.2396559085006227,0.0192708948618142
64,0.05,0.1342,12,0.546983396919155,0.006738600117499281,1.1473146348480303,0.01972376629296562
64,0.05,0.1565,12,0.5715199394262485,0.0104533450307557,1.1739204721552985,0.03051846918373218
64,0.05,0.1789,12,0.4231554006020925,0.008044789715494154,0.8473535958832831,0.019134266285403077
64,0.1,0.0949,12,1.053960068672459,0.018728652162469717,2.822797373363228,0.08370446045248435
64,0.1,0.1186,12,0.7469740743725862,0.019377603765620897,1.8719316786633078,0.06568768683228703
64,0.1,0.1423,12,0.7159381733969576,0.012003149878353112,1.673741984105418,0.040204309443354826
64,0.1,0.166,12,0.5116378426020526,0.021132970342534807,1.1665487025412886,0.053575441208211
64,0.1,0.1897,12,0.6969951217158,0.01110202713525809,1.6420909623975959,0.03375946068429843
64,0.1,0.2214,12,0.4988667270360914,0.006219364988882023,1.0023799462467375,0.01900809773565451
64,0.1,0.253,12,0.2862124997823302,0.003306490697427156,0.514829719903213,0.007030078793548095
64,0.15,0.1162,12,0.9098818726213748,0.02109946602681431,2.5947136375581734,0.08246900345190902
64,0.15,0.1452,12,0.810200914466336,0.021775148016342442,2.1319048567630614,0.06688470098124795
64,0.15,0.1743,12,0.6173996078973242,0.01844031804063701,1.545463727565511,0.05545251265026133
64,0.15,0.2033,12,0.5890807449190151,0.01682263584263968,1.3617327150040206,0.047996911338040606
64,0.15,0.2324,12,0.4832625795580506,0.010331619444032632,1.0110475335048295,0.028816083705711946
64,0.15,0.2711,12,0.25671736862408356,0.009101557822338785,0.4726798600531901,0.018369435274958056
64,0.15,0.3098,12,0.15927003334461123,0.005334327479181466,0.26687236761485605,0.009244361185562405
